model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
CellFlow_ESM2_1000k_fixed2000,KRI1,51,2000,0.7428013918196866,0.7511890341194511,0.7432473402238209,0.3904192550241947,0.3407762757193092,0.8728469782304182
CellFlow_ESM2_1000k_fixed2000,ZNF335,140,2000,0.7844595614086436,0.741829102663888,0.7847734707969625,0.38620040850520143,0.3431045466343579,0.8884106028738985
CellFlow_ESM2_1000k_fixed2000,GPKOW,105,2000,0.7172804535711866,0.6853035778944379,0.7174239383588584,0.3850659518569709,0.3526890541424481,0.915918541440573
CellFlow_ESM2_1000k_fixed2000,POLR2F,209,2000,0.6489597505675151,0.6214276397440139,0.6489597505675151,0.461185621571541,0.3570774395630815,0.7742596800908578
CellFlow_ESM2_1000k_fixed2000,USP36,151,2000,0.7507248156933223,0.7120332152378951,0.7507248156933223,0.39073276099860665,0.3476725820035497,0.8897963206797147
CellFlow_ESM2_1000k_fixed2000,NARS,149,2000,0.6840367138470324,0.5631635650355714,0.6840367138470324,0.43066397282719626,0.34709630187784857,0.8059561879292814
CellFlow_ESM2_1000k_fixed2000,MRPL3,146,2000,0.7542002348166125,0.6513700550810335,0.7542002348166125,0.38563380681946874,0.33958702678047215,0.8805945224960574
CellFlow_ESM2_1000k_fixed2000,RPL8,290,2000,0.7712398762292066,0.6264725250987577,0.7712398762292066,0.42933022269099963,0.34732167368169664,0.8089848960897037
CellFlow_ESM2_1000k_fixed2000,FASTKD5,182,2000,0.7639057075780269,0.6671093427835304,0.7639057075780269,0.3866485766464473,0.33690931679626435,0.871357942152095
CellFlow_ESM2_1000k_fixed2000,RNGTT,110,2000,0.7609641469381253,0.7131593337979214,0.7611163702121677,0.4005800670444967,0.34695016611853563,0.866119375377713
CellFlow_ESM2_1000k_fixed2000,POLR3D,108,2000,0.7232264626340257,0.7171095149478974,0.7232264626340257,0.4054206292471289,0.34817134232926467,0.8587903738098365
CellFlow_ESM2_1000k_fixed2000,MED31,35,2000,0.7064939287251287,0.7016895131044901,0.7091888463412254,0.3954819790381194,0.34931026014851707,0.8832520059841412
CellFlow_ESM2_1000k_fixed2000,CSTF1,129,2000,0.7605201349880233,0.635882170630848,0.7605201349880233,0.41169059572964906,0.34846264412255035,0.8464187408526403
CellFlow_ESM2_1000k_fixed2000,TSR1,109,2000,0.723866533903078,0.6692571944950074,0.723866533903078,0.4158055421191454,0.3465981925421411,0.8335583562453885
CellFlow_ESM2_1000k_fixed2000,MRPL4,109,2000,0.7728030053533692,0.6837241766039601,0.7728030053533692,0.3848450504750014,0.3462440986372534,0.899697395647734
CellFlow_ESM2_1000k_fixed2000,MCM3AP,100,2000,0.7614714940411579,0.6932609460374615,0.7616238188049188,0.40281091850727807,0.3435864222748578,0.8529719477773549
CellFlow_ESM2_1000k_fixed2000,TRMT5,93,2000,0.755412020562089,0.5713481982504884,0.755412020562089,0.3844783583688735,0.34322646388784583,0.8927068259885819
CellFlow_ESM2_1000k_fixed2000,MRPS27,76,2000,0.7072948031981492,0.6342155594255655,0.7072948031981492,0.39133041698485616,0.3354881087849924,0.8573013638880047
CellFlow_ESM2_1000k_fixed2000,RBM39,49,2000,0.763296502949857,0.672665600035243,0.763754755803339,0.38230898983240136,0.3454484440568476,0.9035843890891586
CellFlow_ESM2_1000k_fixed2000,HSPA8,146,2000,0.6756970992694352,0.5612978512906696,0.6758322657225797,0.4164020697578788,0.3582157985500695,0.8602641916638786
CellFlow_ESM2_1000k_fixed2000,SURF6,113,2000,0.7926406328220836,0.706930304023745,0.7927991926606157,0.3791976215752959,0.3428053672333313,0.9040282393358295
CellFlow_ESM2_1000k_fixed2000,NUBP1,144,2000,0.7814872468711725,0.7257698900659646,0.7814872468711725,0.39336254214435834,0.3504625945978954,0.8909404128262843
CellFlow_ESM2_1000k_fixed2000,HEATR1,216,2000,0.6876688879925982,0.5752605272812208,0.6876688879925982,0.4467696803882718,0.34308638860060664,0.7679267326806398
CellFlow_ESM2_1000k_fixed2000,PRPF4B,160,2000,0.7385316815583357,0.6562505789902646,0.7386794174418241,0.40052535546094176,0.3420178641806244,0.8539231061858357
CellFlow_ESM2_1000k_fixed2000,POLR1E,202,2000,0.7588542114022461,0.7012455533650259,0.7588542114022461,0.405557352411747,0.3425716691493462,0.8446935030649159
CellFlow_ESM2_1000k_fixed2000,MRPS24,132,2000,0.7635856161012591,0.6938477747679525,0.7635856161012591,0.3850849235774577,0.34628501051495175,0.8992432066815682
CellFlow_ESM2_1000k_fixed2000,EIF2B3,96,2000,0.693037390631204,0.6600223344239865,0.693037390631204,0.41269641089588405,0.35256527025773493,0.8542968933250837
CellFlow_ESM2_1000k_fixed2000,SRFBP1,73,2000,0.7335165966400838,0.6318722637696736,0.733663329305945,0.40617923283964386,0.3412617265824774,0.8401751999848123
CellFlow_ESM2_1000k_fixed2000,PUF60,52,2000,0.6748726901712762,0.704833540495054,0.6752778568854074,0.40443138744294643,0.3475435967284879,0.8593388122827834
CellFlow_ESM2_1000k_fixed2000,RPS23,98,2000,0.7252512667054938,0.6310589318785926,0.7252512667054938,0.4313142766678333,0.34078253034253464,0.790102579201093
CellFlow_ESM2_1000k_fixed2000,SCFD1,103,2000,0.7276649257078992,0.6287690441530381,0.7276649257078992,0.41249498609542845,0.34602646764441536,0.8388622187415918
CellFlow_ESM2_1000k_fixed2000,MDN1,68,2000,0.7963459293156006,0.727688529172921,0.7965052303616729,0.37792644962370403,0.35455267617037445,0.9381525615417282
CellFlow_ESM2_1000k_fixed2000,CHERP,54,2000,0.7407499528561468,0.6103930477016587,0.7410463714047086,0.37839213334739213,0.34230518667970883,0.9046307982284062
CellFlow_ESM2_1000k_fixed2000,SRRM1,136,2000,0.7802161307957672,0.6529754978191343,0.7802161307957672,0.3805520920947194,0.33848208753338993,0.889450053409879
