condition,n_test_cells,n_pred_cells,mse,mae,pcc_delta,pearson_delta,spearman_delta,topk_de_overlap,auprc,wasserstein,e_distance,kl_divergence,distribution_n_components
CCDC86,235,2000,0.0015269556315615773,0.024665813893079758,0.5883728560943822,0.5883728560943822,0.3977080085098653,0.46,0.4080185736084705,0.753961787429283,0.5797809733967594,9.555984319722636,50
RPS21,63,2000,0.002099314471706748,0.028558624908328056,0.7054845999942294,0.7054845999942294,0.5073068278442731,0.59,0.5969745632811706,1.2041005178518203,0.7659238277790176,11.232051057523712,50
POLE,154,2000,0.002163216006010771,0.030619490891695023,0.5677459061636357,0.5677459061636357,0.3925025277829413,0.45,0.38180581213326653,0.8986173434850144,0.6297648808168494,8.707739307640052,50
TRMT10C,67,2000,0.002067696303129196,0.02601117268204689,0.1419330555688563,0.1419330555688563,0.12134322913155363,0.41,0.3499174468510047,1.095545504842889,0.7235670506815552,10.551603952700221,50
VPS29,146,2000,0.002935065422207117,0.03358088433742523,0.32339421667518775,0.32339421667518775,0.22891099904443993,0.27,0.2030895827371491,0.9433031936724923,0.6656348162248991,9.928606440126256,50
CWC15,144,2000,0.0047081285156309605,0.03927456587553024,0.4319034754982909,0.4319034754982909,0.4800469026719606,0.38,0.3067879042972674,0.9831724185763889,0.6647731242095322,9.70878558760841,50
CHMP6,620,2000,0.0015134172281250358,0.022578924894332886,0.7877434557597388,0.7877434557597388,0.6570095291441495,0.48,0.5522700037732855,0.6460062232506993,0.5269535519516304,7.759640822132954,50
RBX1,41,2000,0.005553729832172394,0.0452842190861702,0.0543985094645019,0.0543985094645019,0.048459223843531976,0.27,0.19793090151907883,1.307559921889738,0.7675055824719496,10.017771562488205,50
BRIX1,95,2000,0.004202157724648714,0.03948892280459404,0.14077371536563013,0.14077371536563013,0.03535655248711066,0.24,0.19019189121199187,1.199650168904474,0.7404126861279804,11.098376598858671,50
PTCD1,246,2000,0.003839949145913124,0.029448645189404488,0.37887864485783845,0.37887864485783845,0.2714804057937318,0.38,0.3096321320668516,0.7696864810534187,0.5913062895773986,9.115317738082446,50
HIRA,228,2000,0.002609462244436145,0.030536236241459846,0.27401001146802145,0.27401001146802145,0.17107176747097644,0.3,0.2171103940848361,0.7525014060783493,0.576105703312027,8.929278752357204,50
