position_0based	gene
697	TMEM131
698	INPP4A
699	MITD1
700	AFF3
701	LONRF2
702	RPL31
703	MFSD9
704	AC012360.3
705	C2orf49
706	GCC2
707	LIMS1
708	BUB1
709	MIR4435-2HG
710	BCL2L11
711	AC068491.3
712	TMEM87B
713	ZC3H8
714	TTL
715	SLC20A1
716	CKAP2L
717	PSD4
718	PAX8-AS1
719	CBWD2
720	ACTR3
721	AC009404.1
722	INSIG2
723	C2orf76
724	DBI
725	PTPN4
726	EPB41L5
727	RALB
728	NIFK-AS1
729	TSN
730	GYPC
731	MAP3K2
732	IWS1
733	SFT2D3
734	AMMECR1L
735	CCDC115
736	PLEKHB2
737	C2orf27A
738	MGAT5
739	CCNT2
740	UBXN4
741	MCM6
742	ZEB2
743	MBD5
744	EPC2
745	STAM2
746	ARL6IP6
747	GPD2
748	GALNT5
749	WDSUB1
750	BAZ2B
751	MARCH7
752	CD302
753	TANK
754	PSMD14
755	TTC21B
756	STK39
757	NOSTRIN
758	SPC25
759	PPIG
760	KLHL23
761	SSB
762	METTL5
763	AC007405.1
764	AC007405.3
765	GAD1
766	CYBRD1
767	PDK1
768	MAP3K20
769	CDCA7
770	SP3
771	CIR1
772	SCRN3
773	WIPF1
774	ATF2
775	LNPK
776	HNRNPA3
777	NFE2L2
778	OSBPL6
779	CHROMR
780	PLEKHA3
781	TTN-AS1
782	ITPRID2
783	DNAJC10
784	NCKAP1
785	ZC3H15
786	ITGAV
787	TFPI
788	GULP1
789	SLC40A1
790	C2orf88
791	HIBCH
792	INPP1
793	NAB1
794	GLS
795	STAT1
796	NABP1
797	SLC39A10
798	STK17B
799	CCDC150
800	SF3B1
801	COQ10B
802	HSPD1
803	HSPE1
804	MOB4
805	SATB2
806	SATB2-AS1
807	TYW5
808	SGO2
809	BZW1
810	CLK1
811	FAM126B
812	NDUFB3
813	CFLAR
814	CASP10
815	CASP8
816	STRADB
817	TMEM237
818	ALS2
819	BMPR2
820	FAM117B
821	ICA1L
822	NBEAL1
823	ABI2
824	INO80D
825	NDUFS1
826	EEF1B2
827	FASTKD2
828	CREB1
829	IDH1
830	PIKFYVE
831	LANCL1
832	RPL37A
833	IGFBP2
834	ARPC2
835	PNKD
836	USP37
837	RNF25
838	FEV
839	ATG9A
840	ANKZF1
841	STK16
842	TUBA4A
843	GMPPA
844	ASIC4
845	ACSL3
846	WDFY1
847	MRPL44
848	CUL3
849	IRS1
850	RHBDD1
851	MFF
852	TRIP12
853	SP110
854	SP100
855	CAB39
856	ITM2C
857	NCL
858	PTMA
859	EIF4E2
860	EFHD1
861	GIGYF2
862	ATG16L1
863	USP40
864	HJURP
865	AGAP1
866	COPS8
867	HES6
868	PER2
869	TRAF3IP1
870	COPS9
871	CAPN10-DT
872	CAPN10
873	FARP2
874	DTYMK
875	CRBN
876	AC024060.2
877	ITPR1
878	BHLHE40
879	ARL8B
880	EDEM1
881	AC069277.1
882	THUMPD3-AS1
883	SETD5
884	MTMR14
885	OGG1
886	TADA3
887	TTLL3
888	RPUSD3
889	CRELD1
890	EMC3
891	FANCD2
892	BRK1
893	VHL
894	ATG7
895	VGLL4
896	TAMM41
897	RAF1
898	RPL32
899	XPC
900	LSM3
901	SLC6A6
902	CCDC174
903	FGD5-AS1
904	NR2C2
905	MRPS25
906	RBSN
907	CAPN7
908	SH3BP5
909	EAF1
910	ANKRD28
911	DPH3
912	PLCL2
913	TBC1D5
914	RAB5A
915	KAT2B
916	SGO1
917	NKIRAS1
918	RPL15
919	NR1D2
920	THRB
921	TOP2B
922	AZI2
923	STT3B
924	CMTM7
925	CMTM6
926	CNOT10
927	GLB1
928	CRTAP
929	TRANK1
930	EPM2AIP1
931	GOLGA4
932	ACAA1
933	OXSR1
934	ACVR2B
935	EXOG
936	WDR48
937	GORASP1
938	RPSA
939	EIF1B
940	ENTPD3-AS1
941	RPL14
942	ZNF621
943	CTNNB1
944	TRAK1
945	SS18L2
946	NKTR
947	SNRK
948	ANO10
949	ABHD5
950	TCAIM
951	ZNF445
952	ZNF197
