condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,chunk
MARS2,74.0,2000.0,2000.0,0.9967837691924132,0.9699578619894654,0.2069117832963195,0.154703788175947,0.9935702010989188,0.0023378690184823,1.03013484456928,0.1886057748709195,0.3089412603769287,1
MAX,161.0,2000.0,2000.0,0.982727842904254,0.9434264583566152,0.2153876010186248,0.1806477916619479,0.962997891008854,0.0126290841554216,1.047413420690947,0.2161636991213321,0.3897316845447133,1
MBTPS2,214.0,2000.0,2000.0,0.9952715702496991,0.9744564696141178,0.12724557913191,0.0707038526759631,0.9896046547219156,0.003816172724796,0.6114883233813891,0.1095458215266816,0.1498762270878403,1
MED19,526.0,2000.0,2000.0,0.9976495193235698,0.9825844661461164,0.9450267656829624,0.8681949325487331,0.9952964964322746,0.0015417112924061,0.5112223662411675,0.0793348344817613,0.1056862072977722,1
MED29,86.0,2000.0,2000.0,0.9922336399584316,0.947045076866411,0.785227359395339,0.6370084727521181,0.9837421346455812,0.0056212356297184,1.2368364166125003,0.1792404275863024,0.3903654941374646,1
MMS19,128.0,2000.0,2000.0,0.9892939733338326,0.9557251984312992,0.0656057211674195,0.069191072297768,0.9769252762198448,0.0085754268399565,0.8004502210447985,0.1456419796938045,0.2364006578013833,1
MNAT1,79.0,2000.0,2000.0,0.9956340641683784,0.9655228108807028,0.6908592777713,0.5015564603891152,0.9907552003860474,0.0032593562964053,1.1724685611275203,0.2182777471791898,0.3959299778515383,1
MRPL32,62.0,2000.0,2000.0,0.9963021343352364,0.9633925628481406,0.5371315126886657,0.3252795723198931,0.9925364898517728,0.0027916513029046,1.0769857521823496,0.2113222401971594,0.35425078875057,1
MRPL36,179.0,2000.0,2000.0,0.9982070868752474,0.982011862002965,0.7022207834915823,0.4379113274778318,0.9964079742785544,0.0013183395332717,0.6784206575863578,0.1383187341104152,0.176930083372145,1
MRPL44,68.0,2000.0,2000.0,0.9962987158291516,0.9608670242167556,0.5088236080718781,0.3125899600147113,0.992415165528655,0.0027807746105603,1.0812247782273787,0.1980412946889668,0.3496708773337424,1
MRPS18A,108.0,2000.0,2000.0,0.9978063497387022,0.9772383778095948,0.6792371547257204,0.4406015406503852,0.9956167847849428,0.0016193664829791,0.8684278774453008,0.1816692714203819,0.2690056016346113,1
