condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
NUBP1,144,2000,0.9959574776362583,0.9589946360948013,0.5910997772981903,0.3687200413176509
HEATR1,216,2000,0.9792811014191386,0.9306832642353304,0.17263485229840217,0.079623077636745
PRPF4B,160,2000,0.9928891715982577,0.9541639408843577,0.4364276957678283,0.30643107977595185
POLR1E,202,2000,0.9875471281353594,0.9630856273945391,0.8003273929216312,0.6110532258007944
MRPS24,132,2000,0.9958658564006814,0.9646309390243887,0.25214284593856834,0.13490673933550731
EIF2B3,96,2000,0.9946236762961953,0.9608075975363038,0.8634444504703558,0.691194850847794
SRFBP1,73,2000,0.9911847754345365,0.9415366652200635,0.4601736350199608,0.31538009917520393
PUF60,52,2000,0.9895100514476801,0.9263392159478901,0.26798950313369996,0.18625164942700606
RPS23,98,2000,0.9907430580978384,0.9678481677379265,0.8238010496957241,0.742177227671089
SCFD1,103,2000,0.9931709033403502,0.9428459223444653,0.5552454318707123,0.3427196287487851
MDN1,68,2000,0.9896720361658371,0.9339105044508341,0.4070638849803572,0.2516905338297431
CHERP,54,2000,0.9880799718630363,0.9068897408426511,0.30916936586933225,0.14202986790860342
SRRM1,136,2000,0.9922458532990078,0.9482482853354476,0.16756324497826589,0.10361362696054506
POLR3F,156,2000,0.9936632174103237,0.9596222527509519,0.38085937265760134,0.2626169206486768
MRPL50,147,2000,0.9972946368800237,0.9705577956863117,0.5747207019382315,0.2966529696314778
RPP14,53,2000,0.9928499894621787,0.9408574129206168,0.6278449516953307,0.2587572309484994
RPL9,180,2000,0.995588931851465,0.9766385211775407,0.903261120537283,0.7929020331240811
PRPF8,91,2000,0.9919611697166796,0.9353389422424537,0.6186278469692666,0.5006151216206196
HSPE1,25,2000,0.9836449165475224,0.8974426399005918,0.5630298970963228,0.3860731965949278
ECD,69,2000,0.9847645775847661,0.9198609288667439,0.501821348514785,0.3829342794865616
RPL10,215,2000,0.9892914108749647,0.9654183641527344,0.6916495360064502,0.6161243797317622
AP2S1,96,2000,0.989151049395761,0.9280831108513242,0.1977347803804316,0.12824666562894457
TSEN2,168,2000,0.9873557011380981,0.9413145231791724,-0.18622341699155492,-0.12349461926571251
PIAS4,173,2000,0.98810161456654,0.9406417383522451,0.17854376230179841,0.12075920513726643
MRPS11,90,2000,0.9922571875485623,0.9535948019837919,0.20830545477796272,0.1393615536578068
BYSL,87,2000,0.9837674327713427,0.9089501724656364,-0.01325826742402283,0.06570707091785981
