position_0based	gene
167	CUL3
168	OPA1
169	ACIN1
170	STT3B
171	PAPOLA
172	EEF2
173	RACK1
174	HNRNPA1
175	MYB
176	TXNRD1
177	CHD8
178	AGO1
179	HNRNPH1
180	FYN
181	MIF
182	IER3
183	TIMP1
184	LCP2
185	CAP1
186	VASP
187	HSPA5
188	ABL2
189	PTPN7
190	SH2B3
191	NAB2
192	HLA-E
193	GYPA
194	GYPB
195	GYPC
196	VCL
197	CLTA
198	CTNNA1
199	PIK3CG
200	TUBA4A
201	TUBA1A
202	TUBB2B
203	TUBB6
204	TCP1
205	TOMM5
206	TOMM40
207	VDAC1
208	MAP1LC3B
209	DNAJA1
210	PIM1
211	KCNH2
212	VCP
213	CENPX
214	RB1CC1
215	EIF4G1
216	UBE2S
217	CCNA2
218	CDC20
219	CDCA8
220	RPA3
221	PCNA
222	CDC45
223	PCLAF
224	RRM2
225	TYMS
226	CLSPN
227	MCM3
228	MCM10
229	MCM4
230	MCM5
231	CDC6
232	MCM6
233	GINS2
234	DTL
235	EXO1
236	FEN1
237	FBXO5
238	DHFR
239	BRCA1
240	STAT3
241	MYH9
242	LCP1
243	EIF4G2
244	ABCE1
245	NUP214
246	NUP153
247	TPR
248	NUP50
249	BIRC6
250	NUP62
251	TP53BP2
252	APC
253	TRIM24
254	KMT2A
255	KMT2C
256	C1QBP
257	TNIK
258	EPS15
259	SPTAN1
260	GSK3B
261	CSNK1A1
262	RPS28
263	RPS27
264	RPS8
265	RPS19
266	RPS12
267	RPS11
268	RPS24
269	RPS5
270	RPS29
271	RPS3A
272	RPSA
273	RPS17
274	RPS20
275	HSPA4
276	SMARCA5
277	BAZ1B
278	MYH10
279	ARHGEF12
280	AGO3
281	TNRC6C
282	AGO4
283	TNRC6A
284	ARID1A
285	NCOA3
286	ZEB2
287	CDC42
288	ELF1
289	DDIT4
290	KDM6B
291	MCL1
292	SKIL
293	PRDX2
294	REST
295	SPI1
296	ATP6V0A1
297	GAMT
298	CBL
299	FOXO3
300	STAT1
301	JAK1
302	SNRPF
303	SNRPD1
304	SNRPB
305	SOD1
306	MIB1
307	EPAS1
308	SOCS2
309	SOCS1
310	IRS1
311	VEGFA
312	CISH
313	RNF213
314	GAB2
315	IRF1
316	IL6ST
317	SMAD3
318	TGFBR3
319	RAP1B
320	MYC
321	CITED2
322	HBA1
323	BLVRB
324	PKM
325	GSTP1
326	NQO1
327	CTSL
328	LTBP1
329	UCA1
330	CYBA
331	OST4
332	AMHR2
333	PRDX5
334	CTSS
335	TOP2A
336	DLGAP5
337	CKS1B
338	BIRC5
339	TACC3
340	ATM
341	MRE11
342	BRCA2
343	BLM
344	BRIP1
345	XRCC2
346	DNA2
347	TOPBP1
348	MSH2
349	MSH6
350	CCNE1
351	RFC2
352	RFC4
353	MCM7
354	ORC1
355	E2F1
356	CCNE2
357	CCNB2
358	ORC6
359	E2F2
360	HDAC2
361	GATAD2B
362	MED13
363	JMJD1C
364	WEE1
365	RTN4
366	TAF1D
367	OTUD7B
368	TNFRSF10B
369	NR2F2
370	MED15
371	CAVIN1
372	MAFG
373	CFLAR
374	TAX1BP1
375	ARID4B
376	RAB5A
377	SLC2A3
378	RICTOR
379	NUMB
380	PDPK1
381	TLN1
382	VPS41
383	GAL
384	NCKAP1L
385	FCER1G
386	CD63
387	MYL6
388	RAC2
389	TGFB1
390	GPSM3
391	PRKCB
392	PYCARD
393	GNAI2
394	TMSB4X
395	ARHGEF6
396	BRK1
397	SERPING1
398	B2M
399	ISG15
400	FURIN
401	CCNT1
402	LIMS1
403	EIF5A
404	HMGA1
405	SLC25A6
406	SLC25A5
407	KRT8
408	KRT18
409	MYLIP
410	ABI2
411	WASF2
412	FLNA
413	ARPC2
414	WASL
415	ACTR2
416	ABI1
