condition,source_coverage,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,pcc_delta,spearman_delta,topk_de_overlap,auprc,pra_all_genes,pra_top100_true_de,true_range_mean,pred_range_mean,range_width_ratio
PPP4R2,2,162,143,0.9242413838364917,0.7756621317259813,0.20250292404968995,0.14522455584326696,0.28,0.1897283084978161,0.9024482338880914,0.7700887864809783,0.4365622873255774,0.5478061940049783,1.254817920285127
PRIM2,2,149,65,0.9141770563505172,0.68501712500534,0.45862094550212934,0.31758989097988377,0.32,0.2858870159847272,0.8216428701876288,0.7079617201871079,0.4297171617295763,0.44713857646204697,1.0405415605393449
PRMT1,3,44,109,0.942548721651832,0.7776369869225834,0.10154815150638356,0.07514635559697956,0.22,0.1379456394379108,0.868120529923832,0.7816004007608147,0.3901188024077432,0.4904942587622595,1.257294555304875
PRMT5,3,92,405,0.9452673682760202,0.7976464545410291,0.07832408739962465,0.03241345329284605,0.13,0.09562794017791235,0.8968253425171976,0.8297430343097407,0.4477815511416387,0.5296694625818076,1.18287466154567
PRPF18,3,256,156,0.9469767016754219,0.7942906763521351,0.4064327882075824,0.3485555190701303,0.33,0.2466531857715891,0.8713906242178765,0.7822251852909274,0.4753222215324996,0.5250047943188069,1.1045239618313756
PRRC2A,3,82,288,0.9390098514431177,0.7817850813868988,0.07883500620342315,0.10685383039182125,0.13,0.10522186972111322,0.8697254116309046,0.7765594082783609,0.41937347387712737,0.4965133393863505,1.1839407079247395
PSMA2,2,38,44,0.8748252596575166,0.5806588309750974,0.3363710459918418,0.23007552797810724,0.23,0.19822933433330867,0.7631203347228201,0.7128313000792882,0.4303209021376328,0.47754453599879754,1.109740480950786
PSMA3,2,194,73,0.8833188314674881,0.6335762757468727,0.6810189465083866,0.5284563721728287,0.42,0.40910527991660617,0.8190872024064683,0.6816093706096824,0.49152260602302955,0.5270713715109449,1.0723237432603705
PSMA6,2,18,40,0.86527586851326,0.5724596231904854,0.38750051079309633,0.25467565909192236,0.27,0.23822154794525482,0.7706776911441554,0.7001293764899895,0.41393327618946896,0.48822310454521095,1.179472926759839
PSMA7,1,22,25,0.8825687772677371,0.6075248395054316,0.3935147676114902,0.29182836424606207,0.26,0.2582696299600849,0.6860242584600563,0.6680235413157797,0.44971844174439063,0.43949478622837124,0.977266519805084
PSMB2,3,46,118,0.8982727594489889,0.6610208327347344,0.5557685479340874,0.39823629079792644,0.35,0.3730960874065094,0.826312075630384,0.7726693551871615,0.4685884142874658,0.5431285211749748,1.1590737052475304
PSMB3,2,19,72,0.8412589115592278,0.5488521677266412,0.31805630251528544,0.22001651572792544,0.27,0.21498590482039587,0.7800875544332394,0.6644603615539065,0.4248528888435736,0.5194280729088976,1.222606870101987
PSMB6,3,77,171,0.9478479644334779,0.793818672648485,0.5751703401549938,0.42194903321206656,0.36,0.3419026950875398,0.8832883004001718,0.8463734717709458,0.5008015968047778,0.5648579927503636,1.1279077085121179
PSMC1,3,177,125,0.9063976867200719,0.718157831839789,0.7233633166667497,0.5937789524886267,0.45,0.4406755947155058,0.7678597102866026,0.7197121924451632,0.5694069741956161,0.5378488108195668,0.9445771227751436
PSMC2,3,279,76,0.917352029989726,0.7223119422139838,0.6676817557379261,0.5412229480217177,0.4,0.3768466051308194,0.7860392682257554,0.7714809176420223,0.531005203954182,0.517582012531581,0.9747211494918403
PSMC4,2,149,73,0.9054741606917471,0.6901371024454896,0.6749801868597387,0.5598136604484311,0.39,0.3863879651145355,0.7264448070490738,0.7035766172554804,0.5565574698132378,0.491995199198939,0.8839971019058736
PSMC6,1,65,27,0.8846485978461217,0.6262694903388529,0.5723818350516159,0.4126925212180546,0.38,0.3859966320804521,0.6939461543040418,0.5885335546172823,0.5337277099090075,0.46704253057875905,0.875057661720067
PSMD1,2,87,41,0.8486411339829645,0.6099942670313009,0.6525832833482628,0.4876823805537168,0.46,0.412319162419208,0.797885297333145,0.6177950619601027,0.48879055598203935,0.5538784928424262,1.1331611765657084
PSMD11,2,40,40,0.8895671837912037,0.6456438821827143,0.5721152103624827,0.4052202424414691,0.45,0.37965416671612057,0.7848225303851307,0.742488198342552,0.4988700725075952,0.5398670023551705,1.082179551921619
PSMD12,3,116,43,0.9193377223389613,0.7126226503961134,0.6372877137822116,0.4829070676533132,0.41,0.38891740132464037,0.8200616654518996,0.8176729352608118,0.5330014557495428,0.5646068855231021,1.0592970597728348
PSMD4,3,285,104,0.939075080887598,0.7848075125820098,0.47733764238975773,0.36144003686314663,0.34,0.28569872255821127,0.8671870963910114,0.8025609757555102,0.4857588079804665,0.5344996613932681,1.100339595718387
PSMD6,2,282,52,0.879424256498753,0.6574596331484706,0.6828106155413818,0.5508350849533161,0.49,0.46421577800116864,0.7926578897560314,0.686358494687437,0.5304795366082883,0.5378153234222339,1.013828576164431
PTCD1,3,246,189,0.939239993733228,0.7821629243005134,0.12130124639344572,0.15168174292483808,0.14,0.11409877342572404,0.8973094183471382,0.8344432440989263,0.4346448132470428,0.5296148295618756,1.2185002586832925
QARS,3,376,249,0.9491009040756518,0.7824348539782621,0.5968385239031863,0.5077772509031252,0.36,0.27694518306284954,0.861761336089637,0.8309666734083401,0.49145938852592985,0.5431750422730368,1.1052287206272207
RABGGTA,3,114,597,0.9171225239980207,0.7357740321477735,0.16827786541467374,0.07634585037022928,0.22,0.16249171573487664,0.9156097929099319,0.8328019469034114,0.4321934611865526,0.5490159829078255,1.2703014263509027
RAD21,2,62,50,0.9170197136032082,0.7242210899499455,0.4540425199863704,0.37643024716720624,0.36,0.30296832706241306,0.8119817813124242,0.7679140786396068,0.4772852313880384,0.527521316419069,1.1052537784008034
RAE1,2,51,66,0.9275637255987447,0.7243362712561984,0.2318593872168951,0.12761164879340617,0.23,0.15660340246301105,0.792007817773554,0.8022273815061779,0.463474378298728,0.4996708344161368,1.078098050358888
RAN,2,79,106,0.9160437917465387,0.7015967044619081,0.2753268145637889,0.17382818730864819,0.28,0.22584606863595946,0.824013040668169,0.6828934363375424,0.4428841112154872,0.4613447257613225,1.0416826968082995
RARS2,3,139,402,0.9472035449165337,0.7984883864519439,0.20870567644991264,0.19139979949247382,0.15,0.12860043715105768,0.8999024894008169,0.813477638122084,0.4381312979176321,0.5136532294152746,1.172372802702884
RBBP4,3,65,118,0.9363420845147188,0.7633667955376627,0.24406917755602922,0.1896332313547704,0.25,0.16881064171800156,0.8677695229715826,0.8273099599098087,0.44244715534772966,0.5073993837634247,1.146802202619261
RBM17,2,50,72,0.909502654917582,0.7071858181488667,0.19308229708536306,0.14342788095313116,0.15,0.12696564102758365,0.8047435845153255,0.7433396234126718,0.41572257427583165,0.4477889923605543,1.0771341497854412
RBM25,3,53,88,0.9488996688115497,0.7724984006526316,0.5755217833264079,0.4902455851824978,0.39,0.3177988277143473,0.835811408665734,0.8393873415706927,0.4415386100862007,0.5268429976943568,1.193197998380079
RBM28,2,55,213,0.9422293088595911,0.7873142620142708,0.1901014923431621,0.10122773118170261,0.27,0.17273137728002724,0.9009155537585769,0.8015800955824207,0.42398106946847747,0.5295123990225054,1.2489057287328174
RBM39,2,49,91,0.9193366004247633,0.7046206169470175,0.2784751197472757,0.20924895961868764,0.28,0.1656199197884555,0.8132275704671801,0.7227290457456916,0.4347921079509228,0.4614168408377927,1.0612355233400876
RBM42,3,68,129,0.921392980520762,0.7251690364301328,0.09320539257277635,0.0339191699661302,0.25,0.14476270613665862,0.8362386866271496,0.7566153334727861,0.4353283665834223,0.5044251690047453,1.1587233824810912
RBM48,3,55,190,0.9417495639249105,0.7939328434931134,0.12184388253848409,0.12507759899686569,0.21,0.13928168526085685,0.8758405334673901,0.8102838575586944,0.45011257500363283,0.5217656565736757,1.159189220557929
RBM8A,2,17,24,0.9353152774798412,0.713801354866441,0.37170915842543617,0.20831831788578345,0.29,0.21929931011236684,0.8396767676553315,0.8185993165527893,0.4375892100611209,0.5267459314023111,1.2037452186978854
RBMX,1,110,23,0.8570040382377447,0.6057686554567184,0.2480359461889137,0.2156367593434354,0.3,0.22889374339409138,0.7045812970946734,0.466508672379403,0.43459390172943807,0.39259880630383914,0.9033693195137452
RCL1,3,104,337,0.9342408487625531,0.7844763760865581,0.30724364955788086,0.07447107840931645,0.41,0.2998010115022328,0.9139824361642968,0.8140556656286452,0.4722700420731506,0.579611216979835,1.2272876809263742
REXO2,1,65,27,0.9045343414929502,0.6970578115085485,-0.1393684237138526,-0.11704191367680007,0.19,0.12491404894856138,0.6491718318255971,0.4628559635326027,0.4474724415511889,0.36681616516841636,0.8197513922853286
RFC2,3,85,167,0.9334476779799906,0.7638658371371017,0.39711980862381274,0.26736539422636146,0.32,0.25904222596904586,0.8825668610803342,0.7584781558856325,0.41518598503937737,0.4723246207954207,1.1376217561255266
RFC4,3,58,102,0.9380321879588738,0.765775406773619,0.3401408440410131,0.20556338701479018,0.29,0.2084103597887812,0.9032371033440283,0.7907486264298565,0.40941249783081957,0.4995218773161313,1.2200943248234795
RFC5,2,101,90,0.9135652219788247,0.7090988762682132,0.2786271847482094,0.1655102915311377,0.18,0.15488762086342323,0.8068657566798827,0.687146857653255,0.42284959309060915,0.4328659549248818,1.0236877408919463
RINT1,3,143,233,0.9453827336480978,0.8027080910166838,0.19521963099775005,0.14651579772177198,0.16,0.11423456327590843,0.9054582272882333,0.8558544608243666,0.448966469519676,0.5350152901078182,1.1916597664043895
RIOK2,2,161,86,0.9367005911035786,0.7891125120836849,0.3602179622724066,0.13430033500581487,0.4,0.3098780801811199,0.9042319446373228,0.7991573396178668,0.47205831786630975,0.5589396310592324,1.1840478137217145
