model,context,condition,n_true_cells,n_pred_cells,n_tfs,tf_activity_mean_pcc,tf_activity_mean_spearman,tf_activity_delta_pcc,tf_activity_delta_spearman,tf_activity_topk_overlap,tf_activity_auprc
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CHERP,54,2000,86,0.9944371769654232,0.9915090334449739,0.6954052267015274,0.6918345204962498,0.6,0.6212905767391772
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CHMP1A,71,2000,86,0.9898295675277731,0.9890372187367328,-0.22152372775501228,-0.054162932213783675,0.52,0.6215204379340205
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CHMP2A,61,2000,86,0.9799998637873696,0.9803009575923393,0.42063417233030637,0.5093542148214538,0.48,0.5346573654146403
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CHMP3,119,2000,86,0.9600115062388107,0.9706778621633095,0.7004454243296497,0.7587244681352894,0.68,0.675218528554848
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CHMP6,620,2000,86,0.9963564225325888,0.99458465021935,0.7608002542470408,0.7675362045379498,0.72,0.762782005870882
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CIAPIN1,139,2000,86,0.9937229094237746,0.9921694419548093,0.3242286307500506,0.3461955752629841,0.52,0.6063168013355285
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CINP,73,2000,86,0.9917710791591082,0.991565639888674,0.561244595994355,0.5389593848766452,0.48,0.512280862244341
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CKAP5,159,2000,86,0.9934769499793098,0.991773196848908,0.7413668926988768,0.6953818576347941,0.6,0.6659346263659225
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CLNS1A,46,2000,86,0.9910940661056846,0.9902825604981366,0.6223576169793291,0.5431859993395914,0.44,0.48675343078887656
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CLP1,51,2000,86,0.986962654011325,0.9875654512005283,0.07902890101746572,0.06720128307939054,0.32,0.40061698486861913
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CLSPN,76,2000,86,0.995615535474772,0.9931128826831455,0.7253970387650018,0.6845888957026274,0.52,0.5892043493687702
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CLTC,112,2000,86,0.9954284749772399,0.9950186329543845,0.26390221946069753,0.3045898391433558,0.36,0.4647418172880636
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CMTR1,138,2000,86,0.9978334602916132,0.9956035662059531,0.7958510391687464,0.8182178404641727,0.56,0.6253528209166754
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CNIH4,65,2000,86,0.991588416399206,0.9892259068824001,0.25017949310671467,0.24594556346997498,0.4,0.5392125101070858
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CNOT1,202,2000,86,0.9772376953162422,0.9709797631963771,0.7044961812206105,0.688324920986839,0.44,0.551388242936161
