condition,n_true_cells,n_pred_cells,mean_pearson,mean_spearman,delta_pearson,delta_spearman
SNRPD1,113,2000,0.9641512632369995,0.8833333610665344,0.22551247477531433,0.2242320502066636
SNRPE,128,2000,0.9825669527053833,0.9328709396828375,0.6772124171257019,0.6014882504564015
SNRPG,325,2000,0.9884008765220642,0.9547727895898263,0.5266404747962952,0.45674529074981157
SON,238,2000,0.9672904014587402,0.9152981550558607,0.18276874721050262,0.1822824715240484
SPC25,181,2000,0.9867842197418213,0.9489546832701871,0.5715149641036987,0.45441827715273103
SPCS3,115,2000,0.9913848638534546,0.9585112572804675,-0.0035628974437713623,0.053615942436498046
SRBD1,143,2000,0.9904255867004395,0.9632835903215813,0.25419294834136963,0.21224655068623766
SRFBP1,73,2000,0.9897966980934143,0.9551178979625617,0.4761076867580414,0.3190553576658717
SRP68,158,2000,0.9894130229949951,0.9606802433552096,0.17245705425739288,0.15204382092975283
SRRM1,136,2000,0.9911506175994873,0.9595234848749966,0.1015654057264328,0.1373343419286697
SSRP1,440,2000,0.9862538576126099,0.9528907424676295,0.3971414566040039,0.3147273088450923
SUGT1,94,2000,0.989194393157959,0.9520151376646054,0.0010309144854545593,-0.026438704562817238
SURF6,113,2000,0.9926867485046387,0.9671368224934728,0.3382551074028015,0.26860411248505756
TAF10,38,2000,0.9763872623443604,0.9049167966909003,0.5429682731628418,0.30798769707889956
TAF6,111,2000,0.9880248308181763,0.9487270615238519,0.44192495942115784,0.2120309762303278
TBL3,70,2000,0.9931327700614929,0.9588867752194709,0.6639858484268188,0.34267401329918473
TCP1,63,2000,0.9883223176002502,0.9436307478158771,0.3974475860595703,0.37427581959699807
TEX10,153,2000,0.992373526096344,0.9713956011598239,0.447092205286026,0.39091083556581524
THOC7,104,2000,0.991956353187561,0.9528257437450295,0.23276251554489136,0.10985164039406559
TRMT10C,67,2000,0.9918889999389648,0.9570923243066632,0.06024153158068657,0.048095571267822844
TRMT5,93,2000,0.9863114356994629,0.9428375571441304,-0.1942550241947174,-0.04900116551557471
TSEN2,168,2000,0.9867825508117676,0.9492199009447959,0.027166560292243958,0.04136875859974319
TSR1,109,2000,0.9929770827293396,0.962079702803188,0.5983845591545105,0.34427943187543997
TSR2,486,2000,0.9843961000442505,0.9575680651897042,0.4209301471710205,0.2704597804698643
TTC27,87,2000,0.9896109104156494,0.9461750379110014,0.07117113471031189,0.062120707478319194
TXN,81,2000,0.9882562160491943,0.9333898858475953,0.2252987027168274,0.11360863347779854
U2AF1,141,2000,0.9840302467346191,0.9280728096634597,0.4457740783691406,0.34979275319250025
UQCRB,93,2000,0.9946526288986206,0.9632319511052779,0.13946260511875153,0.10909590576630944
USP36,151,2000,0.9927393198013306,0.9632919195947958,0.12013370543718338,0.08176871151271091
UTP3,27,2000,0.9883815050125122,0.9244672732881491,0.6774634718894958,0.3685907747116309
VPS29,146,2000,0.9917389154434204,0.9564937677387066,-0.044217370450496674,-0.03454846122193845
VPS54,306,2000,0.9951424598693848,0.9754124711444987,0.140714630484581,0.08833615174780628
VPS72,95,2000,0.9899651408195496,0.9454719439855692,-0.07472450286149979,-0.014011700624468023
WBP11,205,2000,0.9921451210975647,0.9629434356697373,0.41990333795547485,0.354330103077708
WDHD1,175,2000,0.9931803345680237,0.9656787032991481,0.1106976866722107,0.02652254803944809
WDR12,174,2000,0.9935629963874817,0.9686328018565593,0.5921873450279236,0.4151931970176926
WDR3,329,2000,0.9940645694732666,0.9762457268898289,0.7645189166069031,0.5501413034796692
WDR43,47,2000,0.9878549575805664,0.9412561136681459,0.7308859825134277,0.4810992382519695
WDR5,75,2000,0.9746006727218628,0.9221547123124865,0.08192786574363708,0.0033079370283174807
WDR70,29,2000,0.9878283739089966,0.9180691977929868,0.28838762640953064,0.22398723286886502
WDR82,86,2000,0.9732627272605896,0.91196832155662,0.0812419131398201,0.06319719060940436
WDTC1,107,2000,0.9884477853775024,0.9445381927001967,0.1336374580860138,0.128305574933461
XPO1,139,2000,0.9806094169616699,0.9364465004338599,0.5225557088851929,0.3673506455100258
