gene_rank,mean_delta_vs_control,q10_vs_control,q90_vs_control,min_vs_control,max_vs_control,abs_mean_delta
102,0.0939742770258411,-0.23169870830829412,0.435279439707591,-0.9289417140394413,0.9108314796549236,0.0939742770258411
103,-0.09317780384198864,-0.44213122142965156,0.18689674355218638,-2.33456552744454,0.6801389076067066,0.09317780384198864
104,0.09143874650653522,-0.29443932822107505,0.41997066930940996,-0.8404586796219516,1.1921591415566843,0.09143874650653522
105,-0.09059397242858033,-0.46731585144486476,0.27443067666329896,-0.9979636022830991,1.1923492354502072,0.09059397242858033
106,-0.0904942808796345,-0.4253784377733295,0.22994028630259253,-1.1083858281686336,0.7820921991683439,0.0904942808796345
107,-0.08942546018284019,-0.4848229061332361,0.2799368733498369,-0.8529863958869497,1.0162116931004115,0.08942546018284019
108,-0.08733599443782306,-0.43174056482549134,0.2889129409049932,-1.9780241783695787,1.0885364234649852,0.08733599443782306
109,0.08559814189095434,-0.21726833504170798,0.33418221027341116,-0.4941208324266971,0.9658606877063576,0.08559814189095434
110,0.08501978604104612,-0.20075385303431478,0.48477602572473566,-2.0772312245378135,0.7566891619081672,0.08501978604104612
111,0.08223210159834372,-0.309135750812055,0.4087509310864509,-0.8873749497195718,0.9820554439221709,0.08223210159834372
112,-0.08072501691145705,-0.39953000748790646,0.26544768446700284,-1.677278337009589,1.4355511909737868,0.08072501691145705
113,0.07717419705399914,-0.18703327188728502,0.379649636765566,-0.868064141261281,1.1506520373248155,0.07717419705399914
114,0.07607024527633065,-0.3195406512533602,0.45599439555494437,-1.1881631678659779,1.1929550237149358,0.07607024527633065
115,-0.07570320937077865,-0.35138843125221925,0.22901602846437713,-0.626763816792142,1.225984407198726,0.07570320937077865
116,0.07532849497513684,-0.21194510709210307,0.43239463283903096,-1.2836249924053205,0.9820777414621752,0.07532849497513684
117,-0.07511257627126837,-0.36402324023481286,0.1797090056516754,-1.1508343111767732,0.8545247488498324,0.07511257627126837
118,0.0751026572362523,-0.2139333734671099,0.4012703711794026,-1.0276162630049226,1.8862874641567644,0.0751026572362523
119,-0.07457202323387177,-0.3793012495681294,0.19708523879292544,-1.5575077014546812,0.6069282771021682,0.07457202323387177
120,0.07408187371272526,-0.18828361831329626,0.298752495330402,-0.5315241296864402,0.5407944576801103,0.07408187371272526
121,-0.07378204723203055,-0.4275400054579847,0.24675366775765623,-2.5422011967101135,0.8537320876238855,0.07378204723203055
122,0.07356268684875111,-0.2755302159883834,0.4039307581708943,-1.241149260782271,1.9217947692641502,0.07356268684875111
123,-0.0723761249893589,-0.3536670183257674,0.254810738957071,-0.8598035586396027,1.1697977868772511,0.0723761249893589
124,-0.0694830686869923,-0.357791462050409,0.24179577610521513,-1.3525674799981733,0.9880332134291732,0.0694830686869923
125,0.06852374652026064,-0.26633133751402543,0.41299980094229016,-0.9601778192629704,0.9298482916609009,0.06852374652026064
126,-0.06806389990952376,-0.408540107254187,0.1927445399593925,-0.8952182708830789,0.700145707001946,0.06806389990952376
127,0.06804324405035435,-0.3867776766246265,0.47275354973110817,-1.8467255204207975,1.9749054107289097,0.06804324405035435
128,-0.06693956134054223,-0.33949569741792884,0.21948023075980397,-0.8678893573830354,0.6577713612028754,0.06693956134054223
129,0.06678203006701154,-0.2431505664287327,0.34088039136634535,-0.577627116166608,0.9537277208832917,0.06678203006701154
130,0.066589020211094,-0.24983944387485052,0.35486881371137974,-1.4289175333754216,1.4688023774780692,0.066589020211094
131,-0.06658321498294738,-0.35250646809603564,0.22713618754770196,-1.0118598595202366,0.434962115294388,0.06658321498294738
132,-0.06542886239152786,-0.35762460338469376,0.2928946576050756,-1.033757366766171,1.2599923816610143,0.06542886239152786
