1784393707.356037337	3	5618	0
1784393717.461967067	1	5620	0
1784393717.461967067	3	5618	0
1784393727.545433487	1	5620	0
1784393727.545433487	3	5618	0
1784393737.631152595	1	5620	100
1784393737.631152595	3	5618	0
1784393747.800321239	1	5620	0
1784393747.800321239	3	5618	0
1784393757.896355918	1	5620	0
1784393757.896355918	3	5618	0
1784393768.209903827	1	5620	42
1784393768.209903827	3	5618	0
1784393778.297531899	1	5620	62
1784393778.297531899	3	5618	61
1784393788.392167180	1	5620	0
1784393788.392167180	3	5618	0
1784393798.483539912	1	5620	0
1784393798.483539912	3	5618	0
1784393808.572274836	1	5620	74
1784393808.572274836	3	5618	31
1784393818.661659034	1	5620	0
1784393818.661659034	3	5618	0
1784393828.766590303	1	5620	0
1784393828.766590303	3	5618	0
1784393838.852713026	1	5620	100
1784393838.852713026	3	5618	0
1784393848.948962679	1	5620	0
1784393848.948962679	3	5618	0
1784393859.050491561	1	5620	0
1784393859.050491561	3	5618	100
1784393869.143066518	1	5620	100
1784393869.143066518	3	5618	0
1784393879.387304206	1	5620	0
1784393879.387304206	3	5618	0
1784393889.488917676	1	5620	0
1784393889.488917676	3	5618	100
1784393899.713844346	1	5620	100
1784393899.713844346	3	5618	0
1784393909.807839173	1	5620	0
1784393909.807839173	3	5618	100
1784393920.108010624	1	5620	0
1784393920.108010624	3	5618	100
1784393930.209268280	1	5620	100
1784393930.209268280	3	5618	0
1784393940.516263999	1	5620	72
1784393940.516263999	3	5618	76
1784393950.612252763	1	5620	0
1784393950.612252763	3	5618	0
1784393960.888511838	1	5620	100
1784393960.888511838	3	5618	0
1784393970.975181858	1	5620	0
1784393970.975181858	3	5618	100
1784393981.256431016	1	5620	0
1784393981.256431016	3	5618	100
1784393991.346250830	1	5620	70
1784393991.346250830	3	5618	56
1784394001.648278561	1	5620	0
1784394001.648278561	3	5618	100
1784394011.736544930	1	5620	0
1784394011.736544930	3	5618	0
1784394022.052487911	1	5620	83
1784394022.052487911	3	5618	56
1784394032.147680478	1	5620	96
1784394032.147680478	3	5618	0
1784394042.469238687	1	5620	0
1784394042.469238687	3	5618	0
1784394052.551120311	1	5620	0
1784394052.551120311	3	5618	100
1784394062.882718061	1	5620	10
1784394062.882718061	3	5618	100
1784394072.995438817	1	5620	0
1784394072.995438817	3	5618	0
1784394083.231148368	1	5620	0
1784394083.231148368	3	5618	100
1784394093.331802881	1	5620	0
1784394093.331802881	3	5618	0
1784394103.721372984	1	5620	0
1784394103.721372984	3	5618	0
1784394113.803841141	1	5620	0
1784394113.803841141	3	5618	100
1784394124.043042483	1	5620	100
1784394124.043042483	3	5618	0
1784394134.133674000	1	5620	0
1784394134.133674000	3	5618	0
1784394144.377439392	1	5620	0
1784394144.377439392	3	5618	100
1784394154.475433922	1	5620	100
1784394154.475433922	3	5618	78
1784394164.780988228	1	5620	0
1784394164.780988228	3	5618	88
1784394174.871627320	1	5620	0
1784394174.871627320	3	5618	100
1784394185.229381920	1	5620	66
1784394185.229381920	3	5618	69
1784394195.321604332	1	5620	0
1784394195.321604332	3	5618	100
1784394205.664561055	1	5620	100
