condition,n_true_cells,n_pred_cells,top100_de_overlap
RPP30,97,2000,0.67
RPP38,49,2000,0.57
RPS10,93,2000,0.63
RPS11,233,2000,0.63
RPS15,18,2000,0.56
RPS15A,257,2000,0.6
RPS19BP1,50,2000,0.61
RPS2,50,2000,0.57
RPS20,179,2000,0.58
RPS24,213,2000,0.62
RPS27,161,2000,0.61
RPS27A,88,2000,0.6
RPS28,262,2000,0.6
RPS29,211,2000,0.64
RPS3,252,2000,0.61
RPS3A,120,2000,0.63
RPS4X,175,2000,0.64
RPS6,165,2000,0.62
RPSA,191,2000,0.59
RPTOR,81,2000,0.34
RRN3,38,2000,0.44
RRP1,90,2000,0.34
RRP12,191,2000,0.66
RRP7A,40,2000,0.66
RSL1D1,124,2000,0.31
RSL24D1,116,2000,0.4
RTF1,53,2000,0.43
RUVBL1,171,2000,0.54
SAMM50,94,2000,0.48
SAP18,40,2000,0.44
SARS2,150,2000,0.19
SART3,142,2000,0.31
SBNO1,127,2000,0.13
SCAF1,158,2000,0.42
SCFD1,103,2000,0.3
SDAD1,210,2000,0.44
SDC1,170,2000,0.23
SDE2,134,2000,0.24
SDHC,91,2000,0.18
SEC61A1,129,2000,0.42
SEC61G,74,2000,0.42
SETD1A,60,2000,0.37
SETDB1,123,2000,0.22
SF1,18,2000,0.24
SF3A2,236,2000,0.33
SF3B5,55,2000,0.51
SFPQ,185,2000,0.4
SFSWAP,145,2000,0.22
SKA3,109,2000,0.23
SLBP,63,2000,0.35
SLC39A9,724,2000,0.27
SLC7A6OS,36,2000,0.36
SLU7,195,2000,0.42
SMC1A,156,2000,0.39
SMC3,42,2000,0.3
SMC4,169,2000,0.44
SMG5,82,2000,0.41
SMN2,319,2000,0.54
SMU1,101,2000,0.43
SNAPC1,96,2000,0.4
SNIP1,43,2000,0.35
SNRNP200,92,2000,0.57
SNRNP70,85,2000,0.53
SNRPB,120,2000,0.53
SNRPC,28,2000,0.45
SNRPD1,113,2000,0.58
SNRPD3,120,2000,0.56
SNRPF,92,2000,0.55
SNW1,115,2000,0.36
SPC24,95,2000,0.51
SPCS3,115,2000,0.18
SRBD1,143,2000,0.36
SRRM1,136,2000,0.28
SRRM2,146,2000,0.32
SRSF1,117,2000,0.33
SRSF10,120,2000,0.17
SRSF3,15,2000,0.32
SRSF7,100,2000,0.26
SS18L2,130,2000,0.21
