condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio,csa_pearson,csa_spearman,n_corr_pairs
PSMD12,116,2000,0.9787086746928856,0.9146053990088184,0.5175348897419122,0.41362356440866604,0.840256160427359,0.7378439244586759,0.840256160427359,0.5330014557495428,0.5094097843436195,0.9557380552926864,0.586141486221168,0.576670902214851,4950
PSMD4,285,2000,0.9924876645473605,0.968622328145146,0.417712333048229,0.2840671356474786,0.8557585609457562,0.7987994702482304,0.8557585609457562,0.4857588079804665,0.4589341351029471,0.9447777747215326,0.5914988678265041,0.5174420367440392,4950
PSMD6,282,2000,0.9810807641438015,0.9303270384915655,0.5242458576584785,0.4497533714352935,0.8361447632089533,0.7219553000508676,0.8361447632089533,0.5304795366082883,0.4926776932988807,0.9287402246682267,0.5456129557843498,0.5420486875335622,4950
PTCD1,246,2000,0.997932331001646,0.9829681252285557,0.2622605569007104,0.09313149838515326,0.9006458448671897,0.8955386560714949,0.9006458448671897,0.4346448132470428,0.44118223888111907,1.0150408224932672,0.44679944756496565,0.374817686518053,4950
QARS,376,2000,0.9858463821433717,0.9249074346379108,0.6192472282912371,0.455839385205781,0.8478480279457757,0.840529219537427,0.8481010413829425,0.49145938852592985,0.48033362723088746,0.9773617691951507,0.6529978945750082,0.6397084306177623,4851
RABGGTA,114,2000,0.9855577975652808,0.9284191814710797,0.16871650697142393,0.03145212951485208,0.9280508361079584,0.9210123221254239,0.9280508361079584,0.4321934611865526,0.5072953654453716,1.1737691549403388,0.312325348706982,0.2666297286903699,4950
RAD21,62,2000,0.9880608220538546,0.9370182182125649,0.40987724837653067,0.2983370161226033,0.851836738155031,0.7539891797457164,0.8520909418966469,0.4772852313880384,0.4744985121560561,0.9941612918432634,0.6078042590581877,0.5997619750086827,4851
RAE1,51,2000,0.9847396689667858,0.9304086013898578,0.27058386891803937,0.16878799553058282,0.8421864566173117,0.8320018570881839,0.8424377805375197,0.463474378298728,0.48311782052683794,1.0423829940209102,0.24993618165363596,0.22471950112170805,4950
RAN,79,2000,0.9908873112477841,0.9457991210305259,0.35117391215723587,0.2357834864767783,0.9171086974192304,0.8917187095227438,0.9171086974192304,0.4428841112154872,0.47780710692880884,1.0788535511670099,0.4165323369466008,0.3779306094204488,4950
RARS2,139,2000,0.9972958104785848,0.9789444548207809,0.28688065218976644,0.19459148702087967,0.8825937895095655,0.8282834221498167,0.8828571717206993,0.43813129791763206,0.4277307458056042,0.9762615409488538,0.5194887019788141,0.4850008358919796,4851
RBBP4,65,2000,0.995312342094258,0.9636074768194545,0.1832399144515511,0.13400665881585747,0.8776299037639294,0.8500094305368444,0.8776299037639294,0.44244715534772966,0.44089463112415594,0.9964910291099875,0.32892468114657186,0.29975536528669244,4950
RBM17,50,2000,0.9885343444253408,0.9311388485728571,0.20741736704848876,0.1296981035046787,0.9119278939888316,0.9031463909878771,0.9124723285524069,0.4157225742758317,0.4758872731703322,1.144723166770707,0.2588430030782332,0.18879369567136553,4950
RBM25,53,2000,0.9832596476804547,0.8970294320073229,0.6095314188797416,0.4876133286352246,0.8375042280803583,0.8674922074216471,0.8380042306045853,0.4415386100862007,0.4861747798420711,1.1010923115788969,0.44134443816379054,0.40793396738344057,4950
RBM28,55,2000,0.9918624079633044,0.9586874386526025,0.36651701253741104,0.19537166686576313,0.9065340786907693,0.8413834151249152,0.9065340786907693,0.42398106946847747,0.457089719707691,1.0780899003340434,0.22725394688306924,0.18521450225806094,4950
RBM39,49,2000,0.9910785287613333,0.9377432591158321,0.3774695680547704,0.2861866606068559,0.8947238767454929,0.8567518144709235,0.8949908787976403,0.4347921079509228,0.4648568517248134,1.0691473753378484,0.49808019755728844,0.4977831061973793,4950
RBM42,68,2000,0.9859595563079884,0.9245447230159404,0.22263019569072312,0.17297013945657497,0.8836089904322484,0.873383069126595,0.8838726755979996,0.4353283665834223,0.48355088827910403,1.1107727276456119,0.23424876414626492,0.191071326538838,4851
RBM48,55,2000,0.9921395272583285,0.9490618563926021,0.15711504578930444,0.09572023436802721,0.8762914733684373,0.8196279355848435,0.8765529748525819,0.45011257500363283,0.4542376268003526,1.0091644667004511,0.27193329210275125,0.22183644251588747,4950
RBM8A,17,2000,0.9723473087254234,0.854008443736176,0.4115738534415078,0.2918788023090973,0.8821909948184206,0.8544426876805998,0.887752691273295,0.4375892100611209,0.5251511626916623,1.200100776290401,0.48216009583683755,0.4813090096844753,4950
RBMX,110,2000,0.9950713074759102,0.9689754809316609,0.3058772912249341,0.200215392701733,0.9095239672901405,0.8219746261299289,0.9095239672901405,0.43459390172943807,0.44250161583969655,1.0181956164061072,0.4153799014626473,0.37612398454343426,4950
RCL1,104,2000,0.9917899787887751,0.9612185823412052,0.6345865944413691,0.26583161483892165,0.888161093321699,0.9212409140822302,0.888161093321699,0.4722700420731506,0.4773563613277639,1.0107699169834836,0.5421938463982121,0.5220431095496408,4950
REXO2,65,2000,0.9925896642843298,0.9661515506324014,0.04908095472713517,-0.024553066390394774,0.8462126289560719,0.7773801803455275,0.8462126289560719,0.4474724415511889,0.43141679681846185,0.9641192330900612,0.24017527502049565,0.19318247230804717,4950
RFC2,85,2000,0.9951831415794519,0.9700019273602183,0.3738995581565475,0.2160416864736394,0.9224743520952282,0.8346785239477622,0.922749635399345,0.41518598503937737,0.4368688856816806,1.0522245232290333,0.46212296712289935,0.452544690182723,4851
RFC4,58,2000,0.9949346080552683,0.9590999928420091,0.32717335185984464,0.17255490155425746,0.9321002295819841,0.8771109999752582,0.9323783854248914,0.40941249783081957,0.44892284309630864,1.0965049540738894,0.4019857370347585,0.3704592705949874,4851
RFC5,101,2000,0.9971354311618551,0.9769707332469346,0.18265145158904614,0.08950456377726927,0.913558258523028,0.8789092428087788,0.913558258523028,0.42284959309060915,0.43796315581341844,1.035742147118844,0.3511440117472243,0.3176519426063686,4950
RINT1,143,2000,0.9974611932099399,0.9795582170641027,0.18931489892179898,0.1360750412495086,0.8961271803642633,0.8597774478547298,0.8961271803642633,0.448966469519676,0.4456932035161168,0.9927093087059392,0.341338124394411,0.2845512245815243,4950
RIOK2,161,2000,0.9922347940159655,0.9665945464676173,0.6575928407547753,0.33661021413206715,0.9035940735078519,0.898372706321356,0.9035940735078519,0.47205831786630975,0.4756343250085383,1.0075753290030747,0.6078211605841748,0.580790726692816,4950
RMI1,195,2000,0.9985505820758781,0.986977800374593,0.1507372851984737,0.11629942799305419,0.8998082558939711,0.8601863254747368,0.9000767752183203,0.44172421818452395,0.4304215482758418,0.9744123614067177,0.4145402938797334,0.3825276420019429,4851
