condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,part
EIF2B3+ctrl,96.0,2000.0,5000.0,0.9967479854007611,0.9726467255298692,0.940961548781636,0.7915148842075919,0.9934041448868812,0.0008485463224874,1.1158546030334755,0.5171529132945056,0.5274330181894313,1
EIF2S1+ctrl,208.0,2000.0,5000.0,0.9758527319693184,0.9435549987022,0.9267606047261132,0.8478724747468989,0.9514325931668282,0.0058921460133588,1.022164333086839,0.54366153962186,0.5697230212256251,1
EIF3E+ctrl,171.0,2000.0,5000.0,0.9892288469031438,0.9630818835152752,0.5428698008665321,0.4656713570172064,0.9763495363295078,0.0030894386294006,0.8764147322381693,0.5209088669921453,0.4608576161708808,1
EIF3F+ctrl,36.0,2000.0,5000.0,0.9925901896556476,0.9386765650991898,0.4997240080064211,0.3400589620105199,0.9850892778486012,0.0018958706226919,1.366513711764468,0.4532364244488863,0.6057900195282593,1
EIF3G+ctrl,52.0,2000.0,5000.0,0.9911302232212008,0.9499627308485048,0.7066941302102482,0.5087959143366808,0.9814796485006808,0.0022873716835618,1.1777515536905052,0.4808623657573067,0.5456030565460831,1
EIF3J+ctrl,72.0,2000.0,5000.0,0.9949001352032514,0.9649981854550876,0.3933376757769463,0.2323164179862323,0.9885887783020736,0.0014770997038963,1.1234623740266898,0.4945760559877743,0.5553828053845138,1
EIF3M+ctrl,209.0,2000.0,5000.0,0.9933341730656036,0.97203778644084,0.646893361149225,0.5343243700449747,0.9855474727228284,0.0018702333538146,0.8116604892796403,0.5277864922914776,0.4069422910799369,1
EIF5A+ctrl,100.0,2000.0,5000.0,0.9932502575736762,0.9609537133092112,0.4196837143108395,0.3288973852036824,0.986407141201198,0.0017526896297193,1.0574589792606237,0.501990664783608,0.5015692061853407,1
ELP5+ctrl,167.0,2000.0,5000.0,0.9982771993276924,0.9840826840109254,0.360250933606282,0.22376271853999,0.9964007320813836,0.0004734156887219,0.826982416550159,0.5094217343630213,0.3886593180362049,1
EXOC7+ctrl,32.0,2000.0,5000.0,0.9886448005325716,0.9180595456829526,0.3627773440404128,0.2478110697122326,0.975787565112114,0.0029152114883587,1.6132144093139758,0.4891806141885103,0.7157438873933901,1
EXOSC10+ctrl,77.0,2000.0,5000.0,0.995500638815358,0.9629753456870134,0.5729341267778667,0.3022268505603274,0.9907674109563231,0.0011242303686319,1.1867403906032865,0.5284050447821425,0.5909853992394265,1
EXOSC2+ctrl,209.0,2000.0,5000.0,0.9920739855272708,0.97319633344721,0.9427474702184856,0.8042396767681903,0.983026595786214,0.0019187403557834,0.960047458003622,0.5485780725746333,0.4911711662720825,1
FAM50A+ctrl,38.0,2000.0,5000.0,0.982680696045598,0.9138945865740052,0.333841265848952,0.2732504672565767,0.9641196765005589,0.0044388303341047,1.5644906206530904,0.5046124521943092,0.7502476739196401,1
FASTKD5+ctrl,182.0,2000.0,5000.0,0.995828140721274,0.9860240665769628,0.3645591512150423,0.2909438638437198,0.9916026033461094,0.0011167631964343,0.8224646630375813,0.5230192338810455,0.3910641982885126,1
FCF1+ctrl,225.0,2000.0,5000.0,0.9981558794707794,0.98834099642964,0.9620408755706495,0.8484585165827037,0.9961227606981992,0.0004500256496734,0.8031936814691601,0.5094711175000223,0.3715191362996996,1
FTSJ3+ctrl,153.0,2000.0,5000.0,0.987644259074178,0.9528951580084152,0.2420923689370151,0.1808528902507966,0.975308945402503,0.0030468734805963,1.0173499606697178,0.5176101475448829,0.5003463539356668,1
GFER+ctrl,198.0,2000.0,5000.0,0.9983826087808848,0.9845637392141792,0.7447799668078714,0.5425559441293872,0.9967624070122838,0.0004191442757625,0.7877919156942587,0.5221269730245831,0.3668546500687219,1
GFM1+ctrl,230.0,2000.0,5000.0,0.9986899236646146,0.9880983326119332,0.6738177132320624,0.5157515319879514,0.9970651620533316,0.0003849083539666,0.7549940354834148,0.5346259017054172,0.3592249478213136,2
GNL3+ctrl,29.0,2000.0,5000.0,0.9947866922144966,0.9441659061171638,0.7601821283859077,0.5684522218420888,0.9895091196522116,0.0013260791120435,1.544468742088807,0.4812953385633124,0.7300750821704493,2
GNL3L+ctrl,66.0,2000.0,5000.0,0.99752039691635,0.9685356852054274,0.7432531146763194,0.5351649560788181,0.994828412309289,0.0006724821288158,1.100887284988999,0.5029530561277846,0.5134207003207285,2
