condition,n_pred_cells,n_true_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
MYBBP1A,2000,106,0.993942058493307,0.965722722112226,0.3176092818081339,0.17116018395171936
MYBL2,2000,81,0.9952825496418155,0.9688981235362712,0.3021108224010237,0.19390290931041274
MZT1,2000,381,0.9983199697975498,0.9887601610785709,-0.005873086545472356,0.009527949020076115
NAA10,2000,113,0.9961342385067479,0.9751415883822916,0.05835398232514615,0.019458160893096172
NAA20,2000,158,0.9976228108679498,0.9811376590582684,0.050518941223678976,0.016313080677548126
NACA,2000,315,0.9884125269132658,0.9483464874339064,0.5224250839046091,0.3217451442490719
NAT10,2000,28,0.9871340270541022,0.9384819426959556,0.4696866036735708,0.1462760994322522
NCAPH,2000,64,0.9943376656459136,0.9589489134738006,0.28449176383804947,0.20012708666253953
NCBP1,2000,53,0.9795693610223217,0.9264364018929022,0.3495322628722486,0.1749224900984742
NCBP2,2000,765,0.9848225220820578,0.9508292436799528,0.4801298199809952,0.2417658617098292
NDC80,2000,171,0.9955999083219702,0.9728789686024382,0.5201097039398689,0.35900027514445615
NDUFA2,2000,111,0.9857868470566954,0.9280028682356178,0.5922483750783946,0.48133117186889446
NDUFA8,2000,85,0.9970989100840743,0.9752123140786989,0.18562416837252743,0.11914724024663423
NDUFB4,2000,147,0.9974888014161545,0.979131256915352,0.1933484235468348,0.1379040054581833
NDUFB8,2000,174,0.9981720043032265,0.9836030987765934,0.4223727464025004,0.28939270695450203
NELFA,2000,82,0.9920805366203482,0.9615845343003837,0.21056557679865032,0.08909767428355837
NELFCD,2000,174,0.9962561065095705,0.9798203045862302,0.12947019812975766,-0.02381253718505996
NFRKB,2000,223,0.9967442904595708,0.9816072119580507,-0.06118320669906642,-0.04595516165131405
NFS1,2000,75,0.9951856878597545,0.9622776851239233,0.3107586622910948,0.18339052449913532
NOC3L,2000,73,0.9947833766233011,0.9640154916692144,0.435933063524709,0.25858998530396515
NOL11,2000,219,0.9888726474408236,0.9574929267341806,0.5641682144190184,0.24522091857271622
NOL12,2000,83,0.9955482204163715,0.9686764726823939,0.2878503545608058,0.15148316520336597
NOL8,2000,70,0.9948408532869352,0.9631547599726139,0.4327479499715737,0.24589160369551352
NRBP1,2000,62,0.993127001180528,0.9567562406898493,0.12116007429879441,0.06495856941486594
NRDE2,2000,495,0.9913973277122975,0.9430546723477147,0.5703689711688246,0.41073207610547946
NRF1,2000,71,0.9931135326032183,0.954018950061681,0.053802811429443514,0.022988449974462477
NSRP1,2000,188,0.9931676469404361,0.9518051261916699,0.723459142116212,0.6517615111254008
NUBP1,2000,144,0.997268850736319,0.9789495125506573,0.27992851780653094,0.16650199721162898
NUF2,2000,404,0.9967170774291801,0.9758888614398731,0.6261876543621209,0.43428145170973664
NUMA1,2000,203,0.9928567233105848,0.95879929177941,0.2966210594037235,0.17830907484460723
NUP133,2000,70,0.9953063906146189,0.9618737386975469,0.3426353783011351,0.25291535448595426
NUP160,2000,234,0.984577306212243,0.9124196966139627,0.5244640792460227,0.37932197315884486
