condition,n_test_cells,n_pred_cells,mse,mae,pcc_delta,pearson_delta,spearman_delta,topk_de_overlap,auprc,wasserstein,e_distance,kl_divergence,distribution_n_components
POLR3D,108,2000,0.0006172044086270034,0.01721061021089554,0.5512005686759949,0.5512005686759949,0.39336608555496577,0.42,0.3863869785164433,1.0667504675446517,0.7279487298727418,13.702120008353258,50
MED31,35,2000,0.0029949303716421127,0.03691323101520538,0.49316924810409546,0.49316924810409546,0.3078974794838992,0.4,0.3495422703791513,1.2029012951145692,0.7161908568826546,12.850137635699467,50
CSTF1,129,2000,0.001238435972481966,0.020777247846126556,0.45442503690719604,0.45442503690719604,0.3179663653655482,0.39,0.32224602083922005,1.0296582237815308,0.6934076384261151,12.908562303631543,50
TSR1,109,2000,0.0005635186098515987,0.016949038952589035,0.8473657369613647,0.8473657369613647,0.5924414842416592,0.87,0.9307026634006355,1.0491304267375714,0.714990682713333,13.847287755289038,50
MRPL4,109,2000,0.00042497587855905294,0.014081085100769997,0.6370118260383606,0.6370118260383606,0.4168665523406861,0.47,0.4926741352794568,0.973654691166488,0.6909887923443256,13.693609233398979,50
MCM3AP,100,2000,0.001039175782352686,0.020498542115092278,0.5925228595733643,0.5925228595733643,0.36858374153788764,0.42,0.3783310467455305,1.0433110533436687,0.721694057411328,13.863846840648431,50
TRMT5,93,2000,0.0006919082370586693,0.017698997631669044,0.7714146375656128,0.7714146375656128,0.5587101020500402,0.52,0.55286319302939,1.0008347657065648,0.6894632416867235,13.542138589263685,50
MRPS27,76,2000,0.0010155517375096679,0.01888364925980568,0.5772212743759155,0.5772212743759155,0.4385929471858229,0.47,0.42952548182709727,1.1559374500287765,0.7561562163980757,13.860521702416603,50
RBM39,49,2000,0.0024635158479213715,0.03085886873304844,0.3502029776573181,0.3502029776573181,0.2709148320080992,0.27,0.24797803930428583,1.2614855691808637,0.7781802761813094,13.807026005546943,50
HSPA8,146,2000,0.0040131560526788235,0.03123573027551174,0.48849666118621826,0.48849666118621826,0.44398950546620325,0.47,0.4343487795955529,1.0682436064195466,0.7200445069334482,13.17961353883793,50
SURF6,113,2000,0.00075927545549348,0.017929797992110252,0.7649750113487244,0.7649750113487244,0.5722284474308713,0.56,0.6247912380142566,0.9601937815794304,0.688173536224614,13.604933920704855,50
NUBP1,144,2000,0.0004236585518810898,0.014103743247687817,0.6238417029380798,0.6238417029380798,0.42575440177061225,0.47,0.5069043519774217,0.9066786499638876,0.6721516179627554,13.837681683752216,50
HEATR1,216,2000,0.00174385542050004,0.022910982370376587,0.8197493553161621,0.8197493553161621,0.695309482181754,0.64,0.6961638090649983,0.9074862008562437,0.6529590837704908,12.884222300771723,50
PRPF4B,160,2000,0.0009511436219327152,0.018681813031435013,0.3994045555591583,0.3994045555591583,0.3453659144397917,0.31,0.25572326402545587,0.9172235350135429,0.6775094671147929,13.500834037220036,50
POLR1E,202,2000,0.0005519306869246066,0.014349188655614853,0.7547156810760498,0.7547156810760498,0.6020833158882327,0.62,0.5986738313952152,0.8236249066882719,0.6309550389589337,13.354361792964148,50
MRPS24,132,2000,0.0004782939504366368,0.013915933668613434,0.44946980476379395,0.44946980476379395,0.2727159485537283,0.36,0.3478576629369988,0.9196867577176644,0.6647620938953359,13.492326241687163,50
EIF2B3,96,2000,0.0008485487196594477,0.019654324278235435,0.9409615993499756,0.9409615993499756,0.7915148842075919,0.81,0.9176627921683626,1.1076608874135152,0.7344472229150899,13.548383043899214,50
SRFBP1,73,2000,0.0021135578863322735,0.02649393305182457,0.3016456961631775,0.3016456961631775,0.20943361922534476,0.23,0.20708972441227544,1.2081178755337678,0.7770955321250222,13.945335993465212,50
PUF60,52,2000,0.0015051206573843956,0.02669701538980007,0.4624215364456177,0.4624215364456177,0.30885335542495923,0.34,0.2462909584065518,1.3614806715243037,0.8279092808839197,14.406679270993143,50
RPS23,98,2000,0.0029996479861438274,0.027799051254987717,0.7221049070358276,0.7221049070358276,0.6611853467034139,0.55,0.5380436079920844,1.1306068293497873,0.7457922495526083,13.602136897587378,50
