condition,source_context_count,pcc_delta,topk_de_overlap,pra_top100_true_de,csa_pearson
DDX20,0,0.4564708622489662,0.25,0.1629844561294657,0.1568534393306715
DDX21,0,0.5612556389526697,0.53,0.2078121862191456,0.4032964128348243
DDX24,0,0.663841116187659,0.42,0.1477693105864574,0.1592701971145023
DDX27,0,0.5182725049973973,0.39,0.1837627074689486,0.14538516731904
DDX49,0,0.4969766705109733,0.51,0.1990977519227229,0.389741771698853
DDX51,0,0.403058584711077,0.32,0.1570885584062094,0.1713460077735811
DDX54,0,0.5665259992890255,0.43,0.1683111807837068,0.0853981633094351
DDX56,0,0.6362814191032448,0.4,0.1556209716122557,0.1484246392117976
DDX6,0,0.6078995245377491,0.41,0.1273859800067941,0.11191839838148
DERL2,0,0.6307166174887503,0.48,0.1128887485836439,0.1235524941602649
DHDDS,0,0.5096390858768411,0.36,0.1244762431379966,0.1768641827009864
DHODH,0,0.0563762997591288,0.28,0.1657835172620081,0.1474011362835522
DHX15,0,0.6898359790824204,0.37,0.1356235775327378,0.0691041211690509
DICER1,0,0.4268831959267467,0.17,0.1627777551332548,0.2575246914355529
DIMT1,0,0.7007946269101671,0.62,0.1868762209350762,0.3193729209795942
DNAJA3,0,0.6013240183908526,0.68,0.186420042828779,0.3770794893385829
DNAJC19,0,0.7251322610430093,0.44,0.1547017518549237,0.1607048412743482
DOHH,0,0.080863233137535,0.16,0.1560274546056385,0.16383235084962
DONSON,0,0.4288929197082246,0.37,0.1381888461233027,0.125918974347477
DPH2,0,0.1091497237022387,0.26,0.1839642441752678,0.2370415146403622
DRAP1,0,0.427777592306651,0.28,0.1586035266607563,0.2144897055451334
DTYMK,0,0.3868506567272308,0.39,0.1477156159370941,0.1123242723830281
DYNLL1,0,0.27941331623026,0.37,0.1545964958486635,0.1691554731459207
DYNLRB1,0,0.4898776165136369,0.38,0.1400588691727333,0.1039110899415555
E4F1,0,0.356491502335292,0.26,0.1502950452297205,0.1669842811935067
EEF1G,0,0.1489521425204523,0.18,0.1252332957853138,0.1444184066755183
EFTUD2,0,0.6552956132796391,0.38,0.1293533475441819,0.114803069606726
EIF2B2,0,0.693443322024298,0.37,0.1424658856343968,0.2012582054150881
EIF2B3,0,0.6499259040949148,0.4,0.147103050260877,0.1876280035399627
EIF2B4,0,0.6359897377749243,0.38,0.1358639141150109,0.1853368326286197
EIF3A,0,0.5910277822273389,0.43,0.1477318115765592,0.1766553807637896
EIF3F,0,0.4230493931750398,0.33,0.1504870259935222,0.1160551253374745
EIF3G,0,0.5109729061507314,0.4,0.1703816427422262,0.1255393962747305
EIF3H,0,0.7448116845337066,0.63,0.2185435301404903,0.4823445946061795
EIF4G1,0,0.5469386446939505,0.48,0.211762475682241,0.3012855639750193
EIF5A,0,0.5443589088282604,0.34,0.1361849365727564,0.1883855826694731
ELP3,0,0.4754881617413278,0.38,0.1802891401294793,0.3000646509255289
ELP5,0,0.4011323321390988,0.31,0.1783109968581348,0.2440854248244091
EP400,0,0.4392939162961984,0.27,0.1331207983121241,0.2138136428698876
EPRS,0,0.4538915687501086,0.32,0.1333770135183561,0.1135171295274781
ERCC3,0,0.3046740457802463,0.32,0.1923258513576943,0.3313602852985885
ERH,0,0.5988723915795259,0.38,0.1274261906769612,0.0678120091377831
EXOSC4,0,0.7481911175723664,0.63,0.13778515360932,0.3693555359012226
EXOSC5,0,0.6271901924851432,0.45,0.1401224241087696,0.1020074840585347
EXOSC6,0,0.6977399480596506,0.56,0.1320327471888865,0.3601150329059908
EXOSC8,0,0.7475786344627057,0.61,0.1265527250190296,0.2778087115419149
EXOSC9,0,0.6870568936871154,0.56,0.1163566534337274,0.2118927655939471
FAM50A,0,0.5668795791187514,0.35,0.1256204696291138,0.0341810435638024
FARSB,0,0.5947710692236267,0.33,0.154412841696149,0.2041117742307405
