model,context,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLE,top_true_de,100,154,2000,4950,0.07274698650439912,0.08106922461874255
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR1A,top_true_de,100,115,2000,4950,0.12582943587330583,0.14316143369950163
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR1B,top_true_de,100,174,2000,4950,0.3218741254878432,0.31926112347919605
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR1C,top_true_de,100,161,2000,4950,0.2985996032819139,0.27976904134380637
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR1E,top_true_de,100,202,2000,4950,0.28401445362191924,0.23872615555983848
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR2A,top_true_de,100,264,2000,4851,0.12051006930564873,0.11808867847057465
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR2B,top_true_de,100,234,2000,4950,0.18688746473118836,0.19452520525652206
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR2C,top_true_de,100,145,2000,4950,0.134545299052514,0.1575986276734343
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR2D,top_true_de,100,182,2000,4950,0.11948815412060082,0.14148490543513106
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR2E,top_true_de,100,93,2000,4950,0.2318691476506781,0.20847195010969732
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR2F,top_true_de,100,209,2000,4950,0.16614033262790348,0.16643649014467185
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR2G,top_true_de,100,131,2000,4950,0.12317836397961905,0.11481271017962846
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR2H,top_true_de,100,80,2000,4950,0.2538720535456859,0.23677129684782042
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR2I,top_true_de,100,179,2000,4950,0.14716311483881447,0.13904852908466536
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR2L,top_true_de,100,43,2000,4851,0.2397411583766573,0.23113194764218833
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR3B,top_true_de,100,109,2000,4950,0.17038185607687367,0.15571270748318114
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR3C,top_true_de,100,169,2000,4851,0.1679153904547272,0.15168841933170935
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR3D,top_true_de,100,108,2000,4950,0.16340704724331215,0.1533185765206556
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR3E,top_true_de,100,192,2000,4950,0.19312411174526883,0.17887490706622008
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLR3F,top_true_de,100,156,2000,4950,0.15693499921715617,0.13718632625260718
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLRMT,top_true_de,100,208,2000,4950,0.39185053094499445,0.4008893674416019
TxPert_official_cell_gat_k562_all_fixed2000,K562,POP1,top_true_de,100,82,2000,4950,0.40796752645165346,0.3991512522865524
TxPert_official_cell_gat_k562_all_fixed2000,K562,POP4,top_true_de,100,116,2000,4950,0.37640365046352053,0.36282122684215945
TxPert_official_cell_gat_k562_all_fixed2000,K562,POP5,top_true_de,100,50,2000,4950,0.3495539161659949,0.34273382071738634
TxPert_official_cell_gat_k562_all_fixed2000,K562,POP7,top_true_de,100,196,2000,4950,0.4353394287192883,0.39580217971755743
TxPert_official_cell_gat_k562_all_fixed2000,K562,PPAN,top_true_de,100,87,2000,4950,0.15215438455951044,0.14113172706229354
TxPert_official_cell_gat_k562_all_fixed2000,K562,PPARGC1B,top_true_de,100,129,2000,4950,0.2062921394613705,0.19250455328015414
TxPert_official_cell_gat_k562_all_fixed2000,K562,PPIE,top_true_de,100,39,2000,4950,0.102068950040853,0.09125063321463286
TxPert_official_cell_gat_k562_all_fixed2000,K562,PPIH,top_true_de,100,93,2000,4851,0.1452646281198299,0.13029360688043562
TxPert_official_cell_gat_k562_all_fixed2000,K562,PPIL4,top_true_de,100,69,2000,4851,0.07770305783681251,0.07219152092010803
TxPert_official_cell_gat_k562_all_fixed2000,K562,PPP1CA,top_true_de,100,64,2000,4950,0.183007480869181,0.16141292388423747
TxPert_official_cell_gat_k562_all_fixed2000,K562,PPP1R11,top_true_de,100,69,2000,4950,0.10940069161075544,0.09913104361190656
