condition,state_available,mean_pcc,mean_spearman,delta_pcc,delta_spearman,top100_de_overlap,auprc
TAF12,False,0.9732591515825968,0.9263734144882679,0.3066554498957952,0.21580318459181053,0.25,0.17854569735874024
TAF1C,True,0.996689669095185,0.9735025509473424,0.2920413453134176,0.11547899277312339,0.34,0.2839402738779854
TAF1D,False,0.9925073745653067,0.9643989997562699,0.17279329235387775,0.04305180613085551,0.24,0.18015356197308974
TAF2,False,0.9804474333975315,0.9409752765909625,0.07903466872361842,0.06963944934839937,0.28,0.2243020479004921
TAF5,False,0.9727024827216181,0.9024361591470151,0.24458374807044894,0.1584487705800276,0.29,0.18690020529833068
TAF6,True,0.9902986331588267,0.9532419990837855,0.4249424122864545,0.11951205856571577,0.48,0.43230758701513267
TAF7,True,0.987291026051078,0.9142194999315972,0.44544083344730384,0.2864330113054778,0.36,0.337488298490868
TAF8,False,0.9814891201870571,0.9444731489183232,0.044969269326525965,0.05593515045662127,0.28,0.22859586317875286
TANGO6,False,0.9899086842289031,0.9508167319000286,0.3222674033633968,0.19872310526409895,0.38,0.29243210181512447
TARS,False,0.9927935183634654,0.95727438303551,0.3434969298642426,0.21517236326348738,0.32,0.2251647473343784
TBCB,True,0.9885820807845386,0.9310541606025656,0.23519381125382344,0.22194149938026497,0.24,0.17366462103511937
TBL3,True,0.9914657840013419,0.9502043744400649,0.40160433436411197,0.0914048042529211,0.52,0.5007355020612052
TBP,False,0.9930331012993582,0.969446961147055,0.04264303900486107,-0.01595360748108255,0.22,0.1378901054590543
TCERG1,True,0.995353941554787,0.9604000871815753,0.12315088485594514,0.08440812923589376,0.22,0.12057116152085147
TCOF1,True,0.9885866251468634,0.9302823371317194,0.09685414691313052,0.04090386943602804,0.17,0.1163966171531415
TCP1,False,0.991189733386301,0.9453953176632847,0.4116589068818883,0.31347998140287314,0.42,0.3242498361016847
TEFM,False,0.9891945885114346,0.9754489832742325,0.028393293507240222,-0.15781124586384576,0.21,0.146629263541764
TELO2,True,0.9908209795950371,0.9477052571993635,0.08756383419963737,0.0385475162911203,0.19,0.15642259845403714
TERF2,True,0.9869675918144747,0.8895028232745075,0.5063634008710297,0.3456122334828142,0.41,0.3359055339392734
TEX10,False,0.9945495260617985,0.970068260599521,0.3633172858541993,0.18935403822952643,0.35,0.33427134306184797
TFDP1,False,0.9957739170282167,0.9709916311686663,0.2070066302788858,0.07450447251573669,0.25,0.21365697719924506
TFIP11,False,0.9948465246405822,0.9544302836284874,0.30589613665021265,0.2507931563280345,0.28,0.16169331295043154
THAP1,False,0.9941972469051844,0.9626719118131439,0.27786136558780017,0.2168233367370298,0.31,0.2198386276407753
THAP11,True,0.9952534755555454,0.9532068540104573,-0.030981984152613568,-0.03054118852238609,0.13,0.08574282410042593
THG1L,False,0.9910741374204961,0.9375716227383947,0.34774651133419576,0.22031838515989943,0.3,0.24299294151453046
THOC1,False,0.9903542621790237,0.9364003791908877,0.2834124638513339,0.17798543238574452,0.27,0.19556468643756145
THOC2,False,0.9868210469093601,0.9411092395230685,0.4441974614145044,0.3405551169446014,0.36,0.2990072097969944
THOC3,False,0.9938421799520841,0.9665886692542306,0.3230703667521375,0.19856502332645476,0.28,0.21051592141781306
THOC5,False,0.9888195830252092,0.9240066486398719,0.39013341200040497,0.26820932394076674,0.33,0.26196272619888833
THOC6,True,0.9973384502280603,0.9735705435451683,0.00402128536665818,-0.00769083713164843,0.1,0.07300413236653192
THOC7,True,0.9948707214071131,0.9576627560890191,0.27510220407641206,0.18642263833928152,0.22,0.14740444105594405
TICRR,False,0.9931272544252708,0.9629391083625214,0.3722633645135661,0.185654264218545,0.41,0.33315144261901
TIMM13,True,0.9921721858975383,0.9560475973390629,0.5172425450933974,0.3662134540726606,0.43,0.32463496318645485
TIMM23B,True,0.9885983085370589,0.9395537435252861,0.6942599285811503,0.5196249302480774,0.44,0.38108014737079915
TIMM44,True,0.9835457161267326,0.8799186383060652,0.5087731006918056,0.3155797785393479,0.41,0.30432346375166414
TIMM9,True,0.9974295610743245,0.9796325654383916,0.12956622611664415,0.08002920221204801,0.23,0.20748088510285276
TMA16,False,0.9965608864793085,0.9757957219773317,0.2683975092669899,0.14714253373999844,0.26,0.2350929202976871
TMSB10,False,0.9955005483378192,0.971932171382991,0.05804608321551818,-0.0004950887961330273,0.21,0.16709362414039033
TMX2,True,0.990665282867219,0.9436293388985543,0.25640930031586134,0.13711275525771488,0.26,0.18760252744362713
TNPO3,False,0.9942650418271862,0.9622657067092386,0.1190342468334357,0.12247069130766748,0.22,0.12197023894193791
TOMM22,True,0.9925872179671063,0.9469288711298132,0.5291868747312023,0.23838432832122794,0.34,0.288769504798245
TOMM40,False,0.9936588092602745,0.9682021845704913,0.2099361881271875,0.12135933466233208,0.23,0.17801672599802132
TOP1,True,0.9944015655823272,0.9576963335655859,0.27187811858010485,0.0959124940570957,0.34,0.2788556771083081
TPR,True,0.9856511930260407,0.9103782905451498,0.3208202888336892,0.20658965310599645,0.34,0.27231337451393756
TPX2,True,0.9900371073310351,0.9409195797505799,0.5544642846633414,0.38629389990130886,0.47,0.4853929200213738
TRA2B,True,0.9943419041327529,0.9724811890125085,0.17952135815291026,0.1593274136627142,0.17,0.1250390854511991
TREX2,True,0.9971515976574892,0.9824464309380375,0.2541569374276919,0.19339209770993235,0.26,0.15913201432722093
TRMT10C,True,0.9935301967563966,0.9519743307381243,0.13002563756451385,0.028260569736708846,0.11,0.08867596695701993
TRMT112,True,0.9935827803251331,0.9637745976092381,0.6245050777458645,0.23468137132413938,0.7,0.7254774597872707
TRMT5,True,0.9954411991122406,0.964021041662708,0.3262884703781736,0.19705611235356996,0.26,0.1855001366605958
TRPM7,False,0.9960291974369861,0.9698320655064224,0.41438941986174077,0.20207597329793656,0.5,0.457876928884322
TRRAP,False,0.9871655190338388,0.9581060546106015,0.2796618692832257,0.16985315044754576,0.34,0.24264532713684336
TSEN2,True,0.9933071296061139,0.97127486213004,0.24129495141046597,0.2411424740400512,0.3,0.199990006771825
TSG101,True,0.9841769776475958,0.9060680870270509,0.4606380667514513,0.362992702265476,0.38,0.37800814347507644
TSR1,True,0.9952633149716795,0.9642779379543405,0.5120616218814733,0.20481959739936179,0.56,0.558592372316942
TSR2,False,0.9819442672318056,0.9601054491626831,0.2612024454215035,0.11378182649249093,0.27,0.20921180705546244
