model,context,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
direct_source_expression,K562,CUL7,top_true_de,100,33,89,4950,0.4938196879328845,0.4749230947150873
direct_source_expression,K562,CWC15,top_true_de,100,144,127,4950,0.6191881159383583,0.5803768598905322
direct_source_expression,K562,CWC22,top_true_de,100,28,31,4950,0.4109167099737242,0.3947997186043362
direct_source_expression,K562,CWF19L2,top_true_de,100,187,183,4950,0.3083301026669481,0.2892941918316415
direct_source_expression,K562,CXXC1,top_true_de,100,115,241,4950,0.33062789555888633,0.2595665663870992
direct_source_expression,K562,CYCS,top_true_de,100,162,71,4950,0.3797741302535782,0.28781146613707115
direct_source_expression,K562,DAD1,top_true_de,100,71,108,4950,0.19216464385694215,0.14848250717758882
direct_source_expression,K562,DAP3,top_true_de,100,141,147,4950,0.4150051405830621,0.35154644662855394
direct_source_expression,K562,DARS,top_true_de,100,60,101,4950,0.4091446359715328,0.3883451646002608
direct_source_expression,K562,DDB1,top_true_de,100,85,218,4950,0.34415533724170605,0.3238327525595481
direct_source_expression,K562,DDX10,top_true_de,100,97,245,4851,0.47016007625777456,0.4293345109352842
direct_source_expression,K562,DDX18,top_true_de,100,112,140,4950,0.3883628575773131,0.36050645520613295
direct_source_expression,K562,DDX23,top_true_de,100,126,367,4851,0.6486675643807925,0.6420871064564874
direct_source_expression,K562,DDX41,top_true_de,100,259,61,4950,0.5988262234218249,0.5670283580363609
direct_source_expression,K562,DDX46,top_true_de,100,132,297,4950,0.32319962088444076,0.31076045892051224
direct_source_expression,K562,DDX47,top_true_de,100,313,93,4950,0.5463134594691879,0.5093844567371753
direct_source_expression,K562,DDX5,top_true_de,100,130,437,4950,0.24259221056560062,0.19328423380221524
direct_source_expression,K562,DDX52,top_true_de,100,106,339,4950,0.44134602237042214,0.4337146172129403
direct_source_expression,K562,DDX55,top_true_de,100,150,595,4950,0.36047766693102595,0.28191196359443194
direct_source_expression,K562,DDX59,top_true_de,100,152,90,4950,0.299717586186761,0.2079383170696428
direct_source_expression,K562,DENR,top_true_de,100,228,176,4950,0.38850549413641605,0.27767519312288025
direct_source_expression,K562,DHX16,top_true_de,100,305,220,4950,0.6317695853027966,0.6368770794037015
direct_source_expression,K562,DHX33,top_true_de,100,127,187,4950,0.5539717852190106,0.5070198272800291
direct_source_expression,K562,DHX36,top_true_de,100,248,216,4851,0.5559482671630277,0.48403300863764165
direct_source_expression,K562,DHX37,top_true_de,100,202,290,4950,0.5591963110955454,0.544837379215644
direct_source_expression,K562,DIS3,top_true_de,100,40,49,4851,0.4259423741335169,0.39947333964487364
direct_source_expression,K562,DKC1,top_true_de,100,51,153,4851,0.43028922499766015,0.3871471116325159
direct_source_expression,K562,DLD,top_true_de,100,283,216,4950,0.5015782064734114,0.516409623855967
direct_source_expression,K562,DMAP1,top_true_de,100,71,100,4950,0.29327335619861566,0.2721496110303365
direct_source_expression,K562,DNAJC17,top_true_de,100,30,212,4950,0.389197278604596,0.3935171251740733
direct_source_expression,K562,DNAJC8,top_true_de,100,260,340,4950,0.20432430275364083,0.19338128304975968
direct_source_expression,K562,DNM1L,top_true_de,100,144,78,4950,0.3702634080300964,0.308468535764083
direct_source_expression,K562,DNMT1,top_true_de,100,146,337,4851,0.17477763690850576,0.12838735016208558
direct_source_expression,K562,DNTTIP2,top_true_de,100,235,117,4950,0.47464261120311996,0.44517192911134434
direct_source_expression,K562,DR1,top_true_de,100,103,115,4851,0.2596151019762252,0.21152737250975898
direct_source_expression,K562,DSN1,top_true_de,100,234,64,4950,0.45491986642131493,0.39127186639826056
direct_source_expression,K562,DTL,top_true_de,100,87,132,4851,0.6128159919611542,0.6137810096096069
direct_source_expression,K562,DUT,top_true_de,100,46,77,4950,0.1762008314629967,0.1703500936781999
direct_source_expression,K562,DYNC1H1,top_true_de,100,217,61,4851,0.4828450839818363,0.4672455969317049
