model,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
Scouter_GenePTv1_40ep_fixed2000,RPS21,top_true_de,100,63,2000,4950,0.6711832624265038,0.6729837442789863
Scouter_GenePTv1_40ep_fixed2000,POLE,top_true_de,100,154,2000,4950,0.8535754305271758,0.8582220504170294
Scouter_GenePTv1_40ep_fixed2000,TRMT10C,top_true_de,100,67,2000,4851,0.602848526406439,0.5145240798674696
Scouter_GenePTv1_40ep_fixed2000,VPS29,top_true_de,100,146,2000,4851,0.4347461883524165,0.3984070150024885
Scouter_GenePTv1_40ep_fixed2000,CWC15,top_true_de,100,144,2000,4950,0.7353197131427982,0.7117071224350453
Scouter_GenePTv1_40ep_fixed2000,CHMP6,top_true_de,100,620,2000,4950,0.9061999590686416,0.8784705036153102
Scouter_GenePTv1_40ep_fixed2000,RBX1,top_true_de,100,41,2000,4950,0.5319886005418553,0.5020771360851186
Scouter_GenePTv1_40ep_fixed2000,BRIX1,top_true_de,100,95,2000,4950,0.7079219776582656,0.710985513713841
Scouter_GenePTv1_40ep_fixed2000,PTCD1,top_true_de,100,246,2000,4950,0.6963450645450299,0.6662080473233906
Scouter_GenePTv1_40ep_fixed2000,HIRA,top_true_de,100,228,2000,4950,0.4919687463740201,0.4386541694825049
Scouter_GenePTv1_40ep_fixed2000,POP4,top_true_de,100,116,2000,4950,0.7878046725529599,0.7547789067259107
Scouter_GenePTv1_40ep_fixed2000,DYNC1H1,top_true_de,100,217,2000,4851,0.820801761231115,0.7765176120445436
Scouter_GenePTv1_40ep_fixed2000,POLR3B,top_true_de,100,109,2000,4950,0.5499744684611553,0.510593340134841
Scouter_GenePTv1_40ep_fixed2000,DNAJC8,top_true_de,100,260,2000,4950,0.5752551648747852,0.5592012491163748
Scouter_GenePTv1_40ep_fixed2000,QARS,top_true_de,100,376,2000,4950,0.8665846397612471,0.8484615341529536
Scouter_GenePTv1_40ep_fixed2000,WBP11,top_true_de,100,205,2000,4950,0.8283441338793561,0.8290967908410013
Scouter_GenePTv1_40ep_fixed2000,MCM10,top_true_de,100,190,2000,4851,0.8416301120691505,0.8429593149427007
Scouter_GenePTv1_40ep_fixed2000,PSMD1,top_true_de,100,87,2000,4950,0.8767191349826843,0.8725982754706452
Scouter_GenePTv1_40ep_fixed2000,MED20,top_true_de,100,78,2000,4950,0.7320726389073033,0.7500151149826997
Scouter_GenePTv1_40ep_fixed2000,DERL2,top_true_de,100,122,2000,4851,0.7039896783998053,0.7120265905262027
Scouter_GenePTv1_40ep_fixed2000,VPS54,top_true_de,100,306,2000,4950,0.8637153772858633,0.8775031662911383
Scouter_GenePTv1_40ep_fixed2000,WDR12,top_true_de,100,174,2000,4950,0.5824185261791524,0.5513440072650004
Scouter_GenePTv1_40ep_fixed2000,OXA1L,top_true_de,100,305,2000,4950,0.8723280452055614,0.873719710620438
Scouter_GenePTv1_40ep_fixed2000,SART3,top_true_de,100,142,2000,4950,0.6774668229332931,0.6581463831320002
Scouter_GenePTv1_40ep_fixed2000,TEX10,top_true_de,100,153,2000,4950,0.6682280221959115,0.6278172189454608
Scouter_GenePTv1_40ep_fixed2000,GTF2E1,top_true_de,100,176,2000,4950,0.7069944643846461,0.701389682890564
Scouter_GenePTv1_40ep_fixed2000,DDX54,top_true_de,100,68,2000,4950,0.5613240473770053,0.5412440136424576
Scouter_GenePTv1_40ep_fixed2000,E4F1,top_true_de,100,130,2000,4950,0.5960006199014184,0.5571357372011876
Scouter_GenePTv1_40ep_fixed2000,RIOK1,top_true_de,100,290,2000,4950,0.82802320338622,0.782464383017595
Scouter_GenePTv1_40ep_fixed2000,EBNA1BP2,top_true_de,100,68,2000,4950,0.5841550797846798,0.556936030174891
Scouter_GenePTv1_40ep_fixed2000,EIF5A,top_true_de,100,100,2000,4950,0.6486022771891077,0.6440777730591082
Scouter_GenePTv1_40ep_fixed2000,SF3B2,top_true_de,100,197,2000,4950,0.8882875372304083,0.8293636891337638
Scouter_GenePTv1_40ep_fixed2000,ACTR8,top_true_de,100,242,2000,4950,0.5930668725044219,0.4897060652689121
Scouter_GenePTv1_40ep_fixed2000,EXOSC2,top_true_de,100,209,2000,4950,0.8631790304432795,0.8332068078344813
Scouter_GenePTv1_40ep_fixed2000,ALG13,top_true_de,100,167,2000,4950,0.4560855246568503,0.40570556487220977
Scouter_GenePTv1_40ep_fixed2000,CPSF3,top_true_de,100,575,2000,4950,0.7315155538907337,0.7392088684999892
Scouter_GenePTv1_40ep_fixed2000,RBM42,top_true_de,100,68,2000,4851,0.3429203198961793,0.2881645650160524
Scouter_GenePTv1_40ep_fixed2000,CDC40,top_true_de,100,84,2000,4851,0.7794138623053266,0.7745561788343049
Scouter_GenePTv1_40ep_fixed2000,PPP1R11,top_true_de,100,69,2000,4950,0.36145762861662983,0.34484855803829834
Scouter_GenePTv1_40ep_fixed2000,SF3B3,top_true_de,100,215,2000,4950,0.8845613505373484,0.8347750259591021
Scouter_GenePTv1_40ep_fixed2000,MRPL54,top_true_de,100,112,2000,4851,0.5241016471744832,0.45370792594472736
Scouter_GenePTv1_40ep_fixed2000,WDHD1,top_true_de,100,175,2000,4950,0.4923395779219745,0.4508994553303861
Scouter_GenePTv1_40ep_fixed2000,FCF1,top_true_de,100,225,2000,4950,0.7863383269479925,0.7357895748684343
Scouter_GenePTv1_40ep_fixed2000,LSM4,top_true_de,100,68,2000,4950,0.8057343206272835,0.7960380179255109
Scouter_GenePTv1_40ep_fixed2000,IGBP1,top_true_de,100,245,2000,4851,0.8252095861623001,0.8306209457221991
Scouter_GenePTv1_40ep_fixed2000,SNRNP27,top_true_de,100,42,2000,4950,0.31702397020973033,0.2683351452388096
Scouter_GenePTv1_40ep_fixed2000,GFM1,top_true_de,100,230,2000,4950,0.7092483865751883,0.6743030987338982
Scouter_GenePTv1_40ep_fixed2000,POLR2E,top_true_de,100,93,2000,4950,0.7877856290435983,0.7925242731734867
Scouter_GenePTv1_40ep_fixed2000,SNRPD1,top_true_de,100,113,2000,4950,0.8219952163088258,0.7690592605936382
Scouter_GenePTv1_40ep_fixed2000,RFC3,top_true_de,100,211,2000,4950,0.792514853527829,0.8050454540959022
Scouter_GenePTv1_40ep_fixed2000,MRPS26,top_true_de,100,111,2000,4950,0.5685266273363043,0.4881859519716743
Scouter_GenePTv1_40ep_fixed2000,RCC1,top_true_de,100,162,2000,4950,0.6178390985446096,0.5763457335515042
Scouter_GenePTv1_40ep_fixed2000,NEDD1,top_true_de,100,134,2000,4950,0.516591425571834,0.47782382642239496
Scouter_GenePTv1_40ep_fixed2000,DDX5,top_true_de,100,130,2000,4950,0.42982800398906573,0.3868569351504377
Scouter_GenePTv1_40ep_fixed2000,EIF2S1,top_true_de,100,208,2000,4950,0.8020061634349102,0.8029860309597832
Scouter_GenePTv1_40ep_fixed2000,CUL1,top_true_de,100,181,2000,4950,0.5429893093256305,0.4903402225762087
Scouter_GenePTv1_40ep_fixed2000,KRI1,top_true_de,100,51,2000,4950,0.5471152480686169,0.4997951509131597
Scouter_GenePTv1_40ep_fixed2000,ZNF335,top_true_de,100,140,2000,4950,0.47680898075395595,0.43233070177367566
Scouter_GenePTv1_40ep_fixed2000,GPKOW,top_true_de,100,105,2000,4950,0.6986992586036188,0.7055932397802039
Scouter_GenePTv1_40ep_fixed2000,POLR2F,top_true_de,100,209,2000,4950,0.8522986311447769,0.8550033885906654
Scouter_GenePTv1_40ep_fixed2000,USP36,top_true_de,100,151,2000,4950,0.7413748874335243,0.6177327486869684
Scouter_GenePTv1_40ep_fixed2000,NARS,top_true_de,100,149,2000,4950,0.8831398597187029,0.8450968047517655
Scouter_GenePTv1_40ep_fixed2000,MRPL3,top_true_de,100,146,2000,4950,0.647373597148622,0.6105180428553615
Scouter_GenePTv1_40ep_fixed2000,RPL8,top_true_de,100,290,2000,4950,0.8473162579517189,0.8562987672598147
Scouter_GenePTv1_40ep_fixed2000,FASTKD5,top_true_de,100,182,2000,4950,0.7406489500347789,0.6671034299832275
Scouter_GenePTv1_40ep_fixed2000,RNGTT,top_true_de,100,110,2000,4851,0.6171137023576317,0.5748866969406364
Scouter_GenePTv1_40ep_fixed2000,POLR3D,top_true_de,100,108,2000,4950,0.4679779360782301,0.43126057963361697
Scouter_GenePTv1_40ep_fixed2000,MED31,top_true_de,100,35,2000,4950,0.46438383120048987,0.4065373611916321
Scouter_GenePTv1_40ep_fixed2000,CSTF1,top_true_de,100,129,2000,4950,0.6102880295059048,0.5833863089687795
Scouter_GenePTv1_40ep_fixed2000,TSR1,top_true_de,100,109,2000,4950,0.7901140703277802,0.7616946913096989
